File_Name,Title,Lead_Author,Year,Journal,Country,Country_ISO3,City,Spatial_Scale_of_Analysis,Number_of_Parks,Spatial_Scale_Detail,Article_Type,Article_Type_Detail,Data_Collection_Method,Data_Collection_Method_Detail,Data_Analysis_Method,Data_Analysis_Method_Detail
uebel2025.pdf,Understory vegetation can promote bird sounds and reduce traffic noise in urban park soundscapes,"Uebel, Konrad",2025,Urban Ecosystems,Australia,AUS,Brisbane,Multiple greenspaces/parks,67,"The study states in the abstract: ""We recorded audio in 67 parks in Brisbane, Australia and quantified bird call volume, bird call diversity and traffic noise volume for each recording."" The methods section further specifies: ""In total, 67 parks were selected...""",Empirical,"The study is empirical as it applies established methods to evaluate specific parks. The abstract states its objective: ""We address this gap by analysing the influence of park and surrounding landscape characteristics on a range of urban park soundscapes in Brisbane, Australia, with respect to bird sounds and traffic noise.""","['On-site audit or observation', 'Geospatial data and/or remote sensing', 'Ecological measurement']","The study used on-site audio recordings: ""We recorded audio in 67 parks in Brisbane, Australia..."". This is a form of on-site observation and ecological measurement. The study also used geospatial data: ""To quantify different land cover classes, we used 2014 land cover mapping data for the Brisbane LGA..."" and ""To quantify vegetation at different vertical layers, we used data on the relative density of vegetation in different vertical strata... These data were derived from LiDAR data from 2009...""",['Quantitative Statistical Modeling'],"The study's primary analysis method is quantitative statistical modeling. The abstract states, ""We then used multiple linear regression analyses to determine the influence of land cover classes, vertical vegetation density and distance to a main road on each of these dimensions."" The 'Statistical analysis' section further details this: ""Multiple linear regression analysis was then used to examine the relationship between natural and built landscape variables and three different dimensions of the soundscape..."""
coisnon2024.pdf,Disentangling public urban green space satisfaction: Exploring individual and contextual factors across European cities,"Coisnon, Thomas",2024,Cities,Austria; Belgium; Bulgaria; Croatia; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Norway; Poland; Portugal; Romania; Slovakia; Slovenia; Spain; Sweden; United Kingdom,AUT;BEL;BGR;HRV;CYP;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ITA;LVA;LTU;LUX;MLT;NLD;NOR;POL;PRT;ROU;SVK;SVN;ESP;SWE;GBR,Aalborg; Amsterdam; Athina; Barcelona; Belfast; Berlin; Bialystok; Bologna; Bordeaux; Braga; Bratislava; Bruxelles; Bucuresti; Budapest; Burgas; Cardiff; Cluj-Napoca; Dublin; Essen; Gdansk; Geneva; Glasgow; Graz; Hamburg; Helsinki; Irakleio; Kobenhavn; Kosice; Krakow; Lefkosia; Leipzig; Lille; Lisboa; Ljubljana; London; Luxembourg; Madrid; Malaga; Malmo; Malta; Manchester; Marseille; Munchen; Napoli; Newcastle; Oslo; Ostrava; Oulu; Oviedo; Palermo; Paris; Piatra Neamt; Praha; Rennes; Reykjavik; Riga; Roma; Rostock; Sofia; Stockholm; Strasbourg; Tallinn; Torino; Valletta; Verona; Vilnius; Warszawa; Wien; Zagreb; Zurich,Entire network or system,Not reported,"The study analyzes data for 75 European cities. The analysis is conducted ""for each city in a standardized way, based on Eurostat's official definition of cities as 'local administrative units where a majority of the population lives in an urban centre of at least 50 000 inhabitants'."" The data on green space is not based on a count of individual parks but on ""the Corine Land Cover (CLC) spatial land-use database"" which provides ""the proportions of areas dedicated to"" different types of green space for each city. Therefore, the scale of analysis is the entire network of green spaces within each city.",Empirical,"The article is empirical as its primary objective is to ""analyse the satisfaction of Europeans with public urban green spaces"" and ""study the individual and contextual factors influencing population satisfaction with green spaces in their city."" To achieve this, it applies a ""multi-level model"" using ""pseudo-panel data from a series of Eurobarometer surveys... and CORINE Land Cover land use data for 75 European cities.""","['Questionnaire surveys', 'Geospatial data and/or remote sensing']","The study uses two main data sources. The first is ""a series of Eurobarometer surveys that were conducted respectively in 2006, 2009, 2012 and 2015 across a number of European cities. They gathered information on the sociodemographic characteristics of individuals (gender, age, etc.) and on the quality of life in the cities concerned, particularly on satisfaction with UGS."" The second data source is ""the Corine Land Cover (CLC) spatial land-use database. These data cover the entire European territory. For each city in the sample, they give the proportions of areas dedicated to artificial vegetated areas (AV) such as parks and public gardens; sports and leisure facilities (SF) such as stadiums; agricultural areas (AG); and forests and vegetated seminatural areas (FN).""",['Quantitative Statistical Modeling'],"The study's primary analytical approach is quantitative statistical modeling. The authors state: ""In this study, we analyse the individual and contextual determinants of satisfaction with UGS... We therefore estimated a mixed effects ordered logistic regression model, combining both fixed and random effects. The latter were estimated at the city level."" The paper then presents and interprets the results of this model to explain the factors influencing satisfaction with urban green spaces."
bajwoluk2023.pdf,"The Pocket Park and Its Impact on the Quality of Urban Space on the Local and Supralocal Scale—Case Study of Krakow, Poland","Bajwoluk, Tomasz",2023,Sustainability,Poland,POL,Krakow,Multiple greenspaces/parks,9,The abstract states: 'The study investigated nine parks located in the northeastern part of Krakow in a dense development structure dominated by multi-family housing.' Page 4 further specifies: 'The subject of the study consisted of nine parks identified for study (eight existing and actively used parks and one that is under construction) located in the northeastern part of Krakowthe city...',Empirical,"The study applies established methods to evaluate a specific set of parks. The abstract states the goal is 'to present the findings of a study of a selected number of pocket parks in Krakow, Poland, in terms of their accessibility, local determinants, and the nearby functiospatial structure, as well as whether they can be included into a wider network of service and green spaces of supralocal significance.' This aligns with the definition of an empirical study.","['On-site audit or observation', 'Geospatial data and/or remote sensing', 'Literature and document review']","The abstract states, 'The research method included novel field research of selected pocket parks and their surroundings.' Page 5 elaborates: 'In Krakow, the study was based on a cycle of original field investigations of the parks and their surroundings (preparing a survey and photographic documentation). Materials on pocket parks in Krakow and on the ‘Gardens for Cracovians’ programme [37] were analyzed in combination with Krakow’s planning documents... A review of the literature was also performed. GIS tools and cartographic materials drawn to various scales were used in the study, including topographic maps and orthophotomaps of Krakow.'",['Spatial Analysis'],"The study uses geographic data to analyze spatial patterns and accessibility. For example, on page 9: 'Over the course of research conducted from a local perspective, a graphical analysis of the pedestrian accessibility of each pocket park was performed. The boundary value for a park’s ‘good’ accessibility was an isochrone of 10 min pedestrian access... The good accessibility range for each park was geometrically determined and presented on a map, accounting for the actual travel time using existing pedestrian paths and the course of circulation barriers that limit accessibility.' This goes beyond simple mapping and constitutes spatial analysis."
huzlik2020.pdf,Air Quality in Brno City Parks,"Huzlík, Jiří",2020,Atmosphere,Czech Republic,CZE,Brno,Multiple greenspaces/parks,3,"The study was conducted in three distinct city parks in Brno. The methods section states: ""The sampling was carried out in three pre-selected city parks in Brno, the Czech Republic; two of the parks are located in areas with a high traffic impact (near main roads), while one is found in a low traffic load environment (a small park inside a courtyard)."" The three parks are identified as Lužánky, Koliště park, and Tyršův sad.",Empirical,"The study applies established methods to measure and evaluate air quality in specific parks. The abstract states, ""Concentrations of gaseous pollutants, namely, nitric oxide (NO), nitrogen dioxide (NO2), and ozone (O3), were measured in parks of Brno... Relevant concentration values of PM10 solids were determined continuously via the nephelometric method, followed by gravimetric method-based validation."" This demonstrates the application of tools to a specific environment, which is characteristic of an empirical study.","['Ecological measurement', 'Geospatial data and/or remote sensing']","The study's data collection involved direct environmental measurement. ""The NO, NO2, O3, and PM10 concentrations were determined by using two Airpointer units... The meteorological parameters (air temperature, relative humidity, air pressure, wind speed, and wind direction) were measured by using a compact meteorological station integrated with the Airpointer."" This falls under ecological measurement. The study also utilized geospatial data for visualization: ""Our research utilized the 'Esri.WorldImagery' map source and the 'Non-parametric Wind Regression' (NWR) technique to display the concentration maps as bivariate polar plots.""","['Quantitative Statistical Modeling', 'Spatial Analysis']","The study used quantitative statistical methods to process the collected data: ""The medians, upper and lower quartiles, and other percentiles for the monitored pollutants, temperature, relative humidity, and wind speed were calculated in MS Excel."" Spatial analysis was a key component for interpreting the results: ""The dependencies of and relationships between the pollutant concentrations on the wind speed and direction were processed via the 'openair' and 'openairmaps' packages of OpenSource program R... Local polar concentration maps found use in localizing the most serious sources of air pollution within urban parks."""
hadavi2018.pdf,How does perception of nearby nature affect multiple aspects of neighbourhood satisfaction and use patterns?,"Hadavi, Sara",2018,Landscape Research,United States,USA,Chicago,Multiple greenspaces/parks,Not reported,"The study was conducted in a large residential area, not a single park. The text states, ""The study area covers approximately 1375 hectares of a moderately dense residential area in Chicago, IL that includes portions of four community areas: Logan Square, Avondale, Humboldt Park and West Town."" The area was selected because it contained ""a variety of public green spaces including large and small parks, green boulevards, and community gardens,"" but the specific number of these spaces is not mentioned.",Empirical,"The study applies a survey method to evaluate residents' perceptions of their neighborhood environment in Chicago. The abstract states, ""A random sample of 434 residents from four Chicago communities participated in a survey incorporating perception of various aspects of environmental attributes as well as multiple dimensions of neighbourhood satisfaction and use patterns."" The study uses this data to empirically test relationships between environmental perceptions and satisfaction, rather than developing a new method or theory.","['Questionnaire surveys', 'Geospatial data and/or remote sensing']","The primary data collection method was a questionnaire survey administered to residents. The paper states, ""A survey with a five-point rating scale was used for assessing perceived proximity to green, barriers to use of outdoor spaces, neighbourhood satisfaction and use pattern."" The survey was distributed via mail, in-person intercepts at community events, and online through neighborhood organizations. Additionally, geospatial data was used for site selection: ""Choice of this area was based initially on analysis of citywide GIS modelling considering criteria comprising median income, housing stock type, crime rate, and green spaces.""",['Quantitative Statistical Modeling'],"The study used quantitative statistical methods to analyze the survey data. The authors state: ""Statistical analyses were conducted using SPSS version 22. First, Exploratory Factor Analysis (EFA) was used to determine each of the independent and dependent variables... Pearson correlations were used to determine the extent of relationship between latent variables... Then Standard Linear Regression modelling was carried out to examine the significance of the relationships between independent and dependent variables."""
gatti2022.pdf,Winter recreationists' perspectives on seasonal differences in the outdoor recreation setting,"Gatti, Elise T.J.",2022,Journal of Outdoor Recreation and Tourism,United States,USA,Salt Lake City,Entire network or system,Not reported,"The study focused on outdoor recreation in the 'greater Salt Lake City region, Utah'. Participants recreated in a variety of settings, not a discrete number of parks. The paper states, 'Participants reported regularly partaking in a wide assortment of winter recreational activities, most commonly along the foothills of the Wasatch Front or in the backcountry areas accessed from the canyons. Some participants reported running or sledding in urban parks, or considered running or walking their dogs in neighborhoods as a form of winter recreation.' This indicates the analysis covers an entire system of recreational spaces within a metropolitan area.",Empirical,"The study is empirical as it applies established qualitative methods to evaluate recreationists' perceptions. The abstract states, 'The purpose of this qualitative descriptive study was to explore recreationists' perceptions of residence proximate winter recreation settings in relation to their behaviors and experiences.'",['Interviews and/or focus groups'],"The study's data was collected through interviews. The abstract states, 'The study involved coding and thematically analyzing 28 semi-structured interviews from a larger investigation of winter recreationists living and recreating in the Salt Lake City, Utah region.' The methods section further specifies, 'One-on-one, semi-structured interviews... were used to collect first-hand verbal accounts of winter recreationists' perspectives.'",['Qualitative Content Analysis'],"The primary data analysis method was qualitative content analysis. The abstract states the study involved 'coding and thematically analyzing 28 semi-structured interviews'. The methods section elaborates: 'an inductive content analysis was used in order to identify descriptive codes that represent the repeated sentiment and insight offered across interviewees... Finally, we extended the analysis by using the codes to generate themes expressed in summary statements with supporting evidence from participants' quotes.'"
dandolo2022.pdf,Decision Tree Analyses to Explore the Relevance of Multiple Sex/Gender Dimensions for the Exposure to Green Spaces: Results from the KORA INGER Study,"Dandolo, Lisa",2022,International Journal of Environmental Research and Public Health,Germany,DEU,Augsburg,Entire network or system,Not reported,"The study analyzes data from the Cooperative Health Research in the Region of Augsburg (KORA) study, which includes the population of Augsburg and two adjacent counties. The analysis is not focused on specific parks but on general exposure to greenness in the residential environment, measured subjectively and objectively (e.g., 'Greenness within a 300 or 1000 m Buffer around the Residential Address'). This constitutes an analysis of the entire system of green spaces across a metropolitan area and its surroundings.",Methodological,"The study's primary objective is methodological, as stated in the introduction: 'The aim of our study was twofold: firstly, we wanted to test whether decision trees are suitable methods to analyze complex data when integrating multiple sex/gender dimensions into environmental research. Currently there are debates about advantages and disadvantages of different types of decision trees [15,36]. Referring to these, we compared two types of decision trees... Secondly, by applying decision tree methods, we aimed to identify and describe homogeneous subgroups with respect to exposure to green spaces...'","['Questionnaire surveys', 'Geospatial data and/or remote sensing']","The study used data from a questionnaire and remote sensing. For the questionnaire: 'In 2019, the paper-based INGER questionnaire was sent to 5256 eligible KORA participants aged 44–93 years.' For geospatial data: 'For these two exposure variables we used NDVI data, calculated for the year 2019. We used Landsat 8 Operational Land Imager (OLI) satellite images with a resolution of 30 m and Sentinel-2 images with 10 m ground resolution...'","['Quantitative Statistical Modeling', 'Computational & AI-based Analysis']","The study uses decision tree analyses, which are a form of quantitative statistical modeling and also a machine learning method. The abstract states: 'We therefore applied two different decision tree approaches: classification and regression trees (CART) and conditional inference trees (CIT).' The methods section further details these: 'In this article we focus on two types of recursive partitioning algorithms, namely CART [37] and CIT [39].' The study also uses random forests, another machine learning technique, to assess variable importance."
ziemelniece2023.pdf,The Research for Aesthetic Quality of Residential Areas in Latvia and Finland,"Ziemeļniece, Aija",2023,Architecture and Urban Planning,Latvia; Finland,LVA; FIN,Jelgava; Helsinki,Multiple greenspaces/parks,Not reported,"The study examines multiple residential areas. The abstract states, ""the study looks at several examples of residential neighbourhoods in Helsinki, Finland, and compares them with residential neighbourhoods in Jelgava, Latvia."" Specifically, it compares ""the Asteru Street housing estate in Jelgava... with a housing estate in Helsinki"". The exact number of courtyards or greenspaces within these areas is not specified.",Empirical,"The study is empirical as it applies a comparative method to evaluate specific residential areas. The authors state, ""The research method is comparative, considering the visual aesthetic quality of existing courtyards in Latvia... and the trends in courtyard construction in Finland."" The study uses ""several criteria to assess the residential areas,"" such as strengthening society, living space, and balancing economic issues, to conduct this evaluation.","['On-site audit or observation', 'Geospatial data and/or remote sensing', 'Literature and document review']","Data collection involved several methods. On-site observation is evidenced by the numerous photographs of the study sites taken by the authors (e.g., Figs. 4, 5, 8, 9, 10). Geospatial data was used to create maps of the study areas, as noted in figure captions: ""developed by authors using www.kadastrs.lv, 2023"" (Fig. 1) and ""Authors' scheme, using https://www.google.com/maps, 2023"" (Fig. 7). The study also utilized literature and document review, specifically ""looking at the archival material on redesigning the central part of Jelgava in 1947"".",['Qualitative Content Analysis'],"The study employs a qualitative, comparative analysis. The authors state, ""in the research process, the study's authors provide a comprehensive comparison of the compositional and functional solutions of residential courtyards in Finland and Latvia."" This comparison is based on a set of predefined criteria and visual assessment of the sites, which aligns with the principles of qualitative content analysis, interpreting and comparing the characteristics of the studied environments."
cheng2020.pdf,Exploring the Link between Fiscal Arrangements and the Quality of Public Services: Evidence from Major U.S. Urban Park Systems,"Cheng, Yuan (Daniel)",2020,Public Performance & Management Review,United States,USA,Albuquerque; Anaheim; Anchorage; Arlington; Atlanta; Aurora; Austin; Bakersfield; Baltimore; Baton Rouge; Boise; Boston; Buffalo; Charlotte; Chesapeake; Chicago; Cincinnati; Cleveland; Colorado Springs; Columbus; Corpus Christi; Dallas; Denver; Detroit; Durham; El Paso; Fort Wayne; Fort Worth; Fremont; Fresno; Garland; Greensboro; Hialeah; Houston; Indianapolis; Jacksonville; Kansas City; Las Vegas; Lexington; Lincoln; Long Beach; Los Angeles; Louisville; Lubbock; Madison; Memphis; Mesa; Miami; Milwaukee; Minneapolis; Nashville; New Orleans; New York; Norfolk; Oakland; Oklahoma City; Omaha; Orlando; Philadelphia; Phoenix; Pittsburgh; Portland; Raleigh; Reno; Richmond; Riverside; Sacramento; San Antonio; San Diego; San Francisco; San Jose; Santa Ana; Seattle; St. Louis; St. Paul; St. Petersburg; Stockton; Tampa; Toledo; Tucson; Tulsa; Virginia Beach; Wichita,Entire network or system,83,"The study analyzes data from 'nearly 83 major U.S. urban parks system from 2012 to 2017'. The analysis is conducted at the city-level, examining the entire park system within each of the major U.S. cities included in the sample.",Empirical,The abstract states: 'We contribute to the debate by exploring the link between fiscal arrangements and public service quality by compiling a unique panel dataset of the quality indicators for major U.S. urban park systems and their funding sources from different types of overlapping local jurisdictions.' The article later specifies: 'This article fills in this knowledge gap by empirically examining the relationship between forms of fiscal arrangements and the quality of urban park services. It provides an empirical test of the above two major schools of thought about a more desirable fiscal arrangement for public park service provision at the local level within the context of major U.S. urban park systems.',"['Geospatial data and/or remote sensing', 'Literature and document review']","The study uses several secondary data sources. 'The primary data come from the annual urban park facts report issued by the Trust for Public Land, which includes park quality data on 100 major U.S. urban park systems from 2012 to 2017. The second source is the Lincoln Institute's Fiscally Standardized Cities (FiSCs) database... The third source is the National Center on Charitable Statistics (NCCS) Core PC files... The fourth source is the U.S. Census' American Community Survey (ACS)'. One of the key dependent variables, 'access', is defined as 'the proportion of city resident that live within 1/2 mile of an urban park', which is a geospatial measure.",['Quantitative Statistical Modeling'],"The study uses statistical modeling to analyze the data. 'Regarding to the estimation methods, this paper uses both fixed effects (FE) and random effects (RE) models.' The paper also states, 'Results for the Park Score Index and each of the individual park indicators are presented in subsequent regression analyses to provide a more nuanced understanding of the quality of urban park systems. We employed an exploratory factor analysis to identify whether the first three indicators can be grouped into a smaller number of factor scores.'"
ward2023.pdf,"Perceptions, preferences and barriers: A qualitative study of greenspace and under-representation in Leeds, UK","Ward, C.",2023,People and Nature,United Kingdom,GBR,Leeds,Multiple greenspaces/parks,Not reported,"The study focuses on the perceptions and experiences of 40 individuals from under-represented groups regarding greenspaces in Leeds, UK. It does not focus on a single park, nor does it analyze the entire park system. The number of distinct greenspaces discussed by the participants is not reported.",Empirical,"The study is empirical as it applies established qualitative methods to investigate a specific issue. The abstract states: ""Using thematic analysis and semi-structured interviews with 40 individuals from under-represented groups in Leeds, UK, we explore (1) a range of perceived barriers to greenspace access, (2) how spending time in greenspace contributes to well-being for these groups, (3) the perceived positive and negative aspects of greenspace, (4) what impact COVID-19 had on access to greenspace and (5) how greenspaces could be improved.""",['Interviews and/or focus groups'],"The study collected data through semi-structured interviews with 40 participants. The paper states: ""Semi-structured interviews were conducted by the lead author and a research assistant through the Zoom video conferencing software or telephone and lasted between 30 and 60 min."" Additionally, a photo-elicitation technique was used as part of the interview process: ""We employed a participant-led photo-elicitation technique where we asked participants to send a maximum of 5 photos showing positive and negative aspects of a recent visit they had taken to a greenspace.""",['Qualitative Content Analysis'],"The study used thematic analysis to interpret the interview data. The methods section states: ""We adopted Braun and Clarkes' (2006) thematic analysis to produce themes derived from the interview transcripts relating to the research questions. This process comprises six iterative methodological stages: familiarisation, generating initial codes, theme development, reviewing themes and defining and naming themes... The transcripts were manually transcribed and pseudonymised using alphabetical numbering (e.g. A, B, C) before being imported into NVivo 12 for analysis by the lead author."""
