File_Name,Park_Quality_Definition,Ecological_Environmental_Dimensions,Ecological_Environmental_Dimensions_Detail,Physical_Functional_Dimensions,Physical_Functional_Dimensions_Detail,Social_Experiential_Dimensions,Social_Experiential_Dimensions_Detail,Management_Governance_Dimensions,Management_Governance_Dimensions_Detail
uebel2025.pdf,"The study defines park quality in terms of the quality of the urban park soundscape. This quality is characterized by the composition of the soundscape, specifically the varying proportions of natural sounds (biophony, such as bird calls) and anthropogenic noise (anthrophony, such as vehicle traffic). The study aims to inform the management of landscape features to promote 'higher quality soundscapes'.","['Biodiversity and/or habitat', 'Vegetation and/or flora', 'Acoustic environment & soundscape']","The study treats the acoustic environment as the primary indicator of park quality, which is shaped by biodiversity and vegetation.
Biodiversity and/or habitat: This was measured as a component of soundscape quality through 'bird call species' and 'bird call species richness'. This was quantified by ""manually identifying all unique bird species vocally-present within each park recording"". The results showed that understory vegetation density had a significant positive association with bird call species.
Vegetation and/or flora: This was analyzed as a key landscape feature influencing soundscape quality. It was measured using LiDAR data to quantify ""the relative density of vegetation in different vertical strata, along with mean canopy cover height"". Specific variables included ""vegetation density (0.15m to 2m)"", ""the (2m to 5m) stratum, along with mean canopy cover height"". The study found that ""greater vegetation density in the understory has a positive influence on the loudness and diversity of bird calls within park soundscapes and a negative influence on traffic noise.""
Acoustic environment & soundscape: This is the central component of quality in the study. Three aspects were quantified: ""traffic noise volume, bird call volume, and bird call species."" Traffic noise volume was measured by ""quantifying the acoustic intensity within the frequency spectrum 1–2 kHz using the average power spectral density (PSD), a measure of sound per unit frequency (dB/Hz)"". Bird call volume was subjectively quantified by listening to recordings and ascribing a ""'bird call volume' value using a five-point scale (1= Very low to 5= Very high, with 0=No birds detected) for every 5s interval"".",['External accessibility'],"External accessibility was treated as a key predictor of soundscape quality, specifically regarding traffic noise.
External accessibility: This was measured as 'Distance to a main road'. The methods state, ""The Euclidean distance from the park sample point to the centre of the nearest main road was also calculated."" The results showed that traffic noise volume was negatively associated with increasing distance to a main road, meaning parks closer to main roads had lower quality soundscapes due to higher traffic noise.",[],"No qualifying content was identified. While the study mentions the potential for soundscapes to promote mental well-being and psychological restoration in the Introduction and Discussion, it did not directly measure or analyze any social or experiential aspects of park quality, such as perceived quality or recreational opportunities, in its Methods or Results sections.",[],"No qualifying content was identified. The study provides 'Implications for practice' that suggest management actions, but it does not measure or analyze any management or governance variables (e.g., planning, citizen participation, funding) as components of park quality."
coisnon2024.pdf,"The study does not explicitly define 'park quality'. It analyzes the determinants of citizen 'satisfaction with public urban green spaces'. The central measure is a Eurobarometer survey question: 'Generally speaking, please tell me if you are very satisfied, rather satisfied, rather unsatisfied or not at all satisfied with each of the following issues in [CITY NAME]? - Green spaces such as parks and gardens'. The study treats the type and quantity of different green spaces as key factors influencing this satisfaction.","['Biodiversity and/or habitat', 'Vegetation and/or flora']","The study treats different types of green cover as factors influencing satisfaction. These were measured using Corine Land Cover (CLC) spatial land-use data. Biodiversity and/or habitat: This was measured as the proportion of city area dedicated to 'forests and vegetated seminatural areas (FN)'. The study found that in denser cities, a greater proportion of FN area increases the likelihood of being very satisfied. Vegetation and/or flora: This was measured by distinguishing between and quantifying the proportion of city area dedicated to different vegetation types: 'artificially vegetated areas (AV) such as parks and public gardens', 'agricultural areas (AG)', and 'forests and vegetated seminatural areas (FN)'. The analysis explores how the proportions of these different vegetation types affect citizen satisfaction.","['Facilities and/or amenities', 'Size and/or acreage']","The study measured physical and functional aspects as predictors of satisfaction. Facilities and/or amenities: This was measured as the proportion of city area dedicated to 'sports and leisure facilities (SF) such as stadiums' using Corine Land Cover data. Size and/or acreage: This was measured in two ways: as the total 'surface area' of the city, and as the proportion of that area dedicated to different types of green space (AV, SF, AG, FN). The analysis included interaction effects between city surface area and the proportion of different green space types.","['Perceived quality', 'Recreation and/or leisure opportunities or programming']","Perceived quality: This is the study's main dependent variable, operationalized as 'satisfaction with UGS'. It was directly measured using a Eurobarometer survey question: 'Generally speaking, please tell me if you are very satisfied, rather satisfied, rather unsatisfied or not at all satisfied with each of the following issues in [CITY NAME]? - Green spaces such as parks and gardens'. Recreation and/or leisure opportunities or programming: This was measured as the proportion of city area dedicated to 'sports and leisure facilities (SF) such as stadiums', derived from Corine Land Cover data. This variable was used in the regression models to predict citizen satisfaction.",[],"No qualifying content was identified. The article discusses policy implications but does not directly measure or analyze any variables related to management or governance (such as planning, citizen participation, or funding) as part of its methodology or results."
bajwoluk2023.pdf,"The study frames its analysis around the impact of pocket parks on the 'quality of urban space'. It first references a broad definition of the quality of urban structure, stating that it is co-determined by several parts: ""functional (a city's attractiveness and diversity in terms of uses, access to services), spatial (spatial structure integration, a city's compactness, hierarchical form), aesthetic (the cityscape's visual attractiveness, compositional and visual assets, public space aesthetics), technical (infrastructure, technical condition of development, and public spaces), environmental (access to green areas and water, a clean environment), social (intensity of interpersonal contacts, security, a well-developed network of social spaces), and circulatory factors (mass transport efficiency, transport accessibility of key elements of the city's structure, ease of travel, walkability, and bikeability), among others."" From this, the authors selected specific qualitative criteria for their study from two perspectives. From the local perspective, quality is defined by: 1) ""A pocket park's form and function as an indicator of a park's overall utilitarian and aesthetic attractiveness""; 2) ""The development of a pocket park... with consideration of the diversity of greenery forms introduced and a suitably large share of biologically active surfaces within the entire park""; and 3) ""The actual accessibility of each pocket park defined by the pedestrian access isochrone of about 10 min"". From the supralocal perspective, quality is defined by: 1) ""A pocket park's incorporation into the system of urban greenery and urban open areas of supralocal significance""; 2) ""Linking the park's location with the general system of urban public spaces and streets""; and 3) ""Accessibility of the entire system of pocket parks against the background of a larger fragment of the city"".",['Vegetation and/or flora'],"Vegetation and flora are treated as a dimension of quality through the analysis of greenery within the parks. This was a specified criterion from the local perspective: ""The development of a pocket park, created under the assumption of a new element of urban public greenery with consideration of the diversity of greenery forms introduced and a suitably large share of biologically active surfaces within the entire park"". This was measured in two ways for each of the nine parks, as presented in Table 1. First, the ""Ratio of biologically active surface to total park area"" was calculated, with values ranging from 60% to 85%. Second, the ""Overall form and development of park greenery"" was described, cataloging features such as ""singular trees, tree groups, hedges, flowerbeds, lawns"".","['Facilities and/or amenities', 'Design and/or aesthetics', 'Size and/or acreage', 'External accessibility']","Facilities and/or amenities: This was analyzed as part of the parks' 'function' and 'utilitarian attractiveness'. The study cataloged the ""Development and features"" for each park in Table 1, which included items like ""paths/alleys, benches, swings, educational elements, sports equipment, play features, pergolas, sculptures"".
Design and/or aesthetics: This was explicitly identified as a quality criterion from the local perspective: ""A pocket park's form and function as an indicator of a park's overall utilitarian and aesthetic attractiveness"". The study conducted a ""detailed analysis of park types in terms of their... geometric parameters (plan shape and dimensions), form of development, and scope of furnishing."" These characteristics, such as 'Plan shape' (e.g., 'regular, rectangular', 'irregular, polygonal'), were documented for each park in Table 1.
Size and/or acreage: The physical size of the parks was a key descriptive variable in the analysis. It was measured and reported in Table 1 under ""Plan dimensions m x m (approximate)"" and ""Area, ha/m²"".
External accessibility: This was a central criterion of quality from both the local and supralocal perspectives. At the local level, it was measured as ""The actual accessibility of each pocket park defined by the pedestrian access isochrone of about 10 min"". This was graphically analyzed for each park in Figure 3. At the supralocal level, quality was assessed by analyzing the ""integration of pocket parks with the main system of municipal public greenery"" and the ""system of main public spaces and services"", with results presented in Table 2.","['Perceived quality', 'Recreation and/or leisure opportunities or programming']","Perceived quality: This is treated as a component of quality through the criterion of ""utilitarian and aesthetic attractiveness, which is crucial from the standpoint of a local user"". The study did not collect primary data on this but states that its assessment is based on secondary sources: ""It is also based on the results of opinion polls conducted by the Municipal Greenery Authority during the design stage of each park and its later construction and use in the form of public consultations (the formulation of expectations and preferences by residents as postulates for design briefs and the polling of user opinions about completed parks).""
Recreation and/or leisure opportunities or programming: This is analyzed as part of the parks' function. The study notes that ""Apart from their overarching function being rest and recreation, the parks were used for educational, cultural, and sports-related purposes, depending on their specific features and urban detail."" These features, such as ""sports equipment"", ""play features"", and ""educational elements"", were inventoried for each park in Table 1.",['Citizen participation and/or collaboration'],"Citizen participation is identified as a key factor in determining the quality of the parks. The study's methods section states that for the pocket parks studied, ""local communities participated in the design process. The form, use programme, and general development of a pocket park were determined by means of public consultations during the first phase of the programme"". This process directly shaped the park's form and function, which the study defines as indicators of quality."
huzlik2020.pdf,"The study frames park quality in terms of environmental quality, with a specific focus on air quality. The abstract states: ""it is important to consider the quality of the environment in urban parks, air quality in particular.""",['Air quality and/or microclimate'],"Air quality is the central component of park quality investigated in this study. It was measured by determining the concentrations of specific pollutants. The abstract states, ""Concentrations of gaseous pollutants, namely, nitric oxide (NO), nitrogen dioxide (NO2), and ozone (O3), were measured in parks... Relevant concentration values of PM10 solids were determined continuously via the nephelometric method, followed by gravimetric method-based validation."" The Methods section specifies the instrumentation: ""The NO, NO2, O3, and PM10 concentrations were determined by using two Airpointer units (Recordum Messtechnik GmbH, Austria)."" Microclimate was also measured to understand its effect on air pollution: ""The meteorological parameters (air temperature, relative humidity, air pressure, wind speed, and wind direction) were measured by using a compact meteorological station integrated with the Airpointer.""",[],"No qualifying content was identified. The study describes some physical characteristics of the parks for context (e.g., location, presence of a playground) but does not measure any physical or functional aspects as indicators of park quality.",[],No qualifying content was identified. The study mentions human activities like barbecue parties as a potential source of PM10 pollution but does not measure any social or experiential aspects as indicators of park quality.,[],No qualifying content was identified. The study does not measure or analyze any aspects of park management or governance.
hadavi2018.pdf,"The study does not provide a single, explicit definition of 'park quality' or 'greenspace quality'. Instead, it operationalizes the concept through a multi-faceted measure of 'neighbourhood satisfaction'. This was assessed via a survey and factor analysis resulted in four dimensions that represent perceived quality of the nearby outdoor environment: 'Amount of Affordances', 'Amount of Green Features', 'Quality of Public Space', and 'Neighbourhood Comfort'.",['Vegetation and/or flora'],"Vegetation and/or flora: This dimension was captured in the 'Amount of Green Features' factor, which the study describes as concerning 'satisfaction with the quantity of nearby nature features'. It was measured by asking survey participants 'how do you feel about the amount of the following?' for 'Shrubs and bushes', 'Lawns', 'Large trees', and 'Flower beds'.","['Facilities and/or amenities', 'Design and/or aesthetics', 'Safety and/or security', 'Size and/or acreage']","Facilities and/or amenities: This was measured within the 'Amount of Affordances' factor, which asked residents how they felt about the amount of 'Outdoor gathering/picnic areas', 'Sitting areas', and 'Children's play areas'. The 'Quality of Public Space' factor also included satisfaction with 'Street lighting'.
Design and/or aesthetics: This was measured as part of the 'Quality of Public Space' factor. Residents were asked 'How satisfied are you with the nearby neighbourhood in terms of these?' for 'Overall appearance' and 'Variety of the green spaces'.
Safety and/or security: This was measured as part of the 'Neighbourhood Comfort' factor, which asked residents about their satisfaction with 'Safety for walking during the day' and 'Safety for walking at night'.
Size and/or acreage: This was measured as part of the 'Quality of Public Space' factor, which asked residents about their satisfaction with the 'Amount of open space'.","['Perceived quality', 'Recreation and/or leisure opportunities or programming', 'Social interactions and/or community-building', 'Other']","Perceived quality: The study's entire approach to quality is based on resident perception. The factor named 'Quality of Public Space' most directly represents this, defined as 'the extent to which the participants are satisfied with their neighbourhood in terms of overall appearance, the variety of green spaces and socialising opportunities'. This was measured by asking residents 'How satisfied are you with the nearby neighbourhood in terms of these?' for a list of attributes.
Recreation and/or leisure opportunities or programming: This was measured as part of the 'Amount of Affordances' factor, which asked residents how they felt about the amount of 'Children's play areas' and 'Outdoor gathering/picnic areas'.
Social interactions and/or community-building: This was measured across two factors. The 'Amount of Affordances' factor included the item 'Opportunities for positive interactions with neighbours'. The 'Quality of Public Space' factor included satisfaction with 'Opportunities for outdoor community/friends gathering' and 'Sense of community'.
Other: Peacefulness. This experiential aspect was measured as part of the 'Neighbourhood Comfort' factor, which asked residents about their satisfaction with 'Peacefulness' in their neighbourhood.",[],"No qualifying content was identified. The study measured 'low maintenance' as a perceived barrier to neighbourhood use, but it was not included as a component of the 'neighbourhood satisfaction' factors, which serve as the study's proxy for perceived quality."
gatti2022.pdf,"The study does not provide a single, explicit definition of 'park quality' or 'greenspace quality'. Instead, it explores recreationists' perceptions of the seasonal attributes of the outdoor recreation setting and how these attributes impact their experience. The paper identifies and analyzes the ""visual, acoustic, sensory, material, and social qualities of the winter recreation environment"" that were ""highly valued by participants.""","['Biodiversity and/or habitat', 'Vegetation and/or flora', 'Air quality and/or microclimate', 'Acoustic environment & soundscape']","The study analyzed interview data to understand perceptions of the biophysical setting in winter. These aspects were explicitly referred to as ""qualities of the winter recreation environment.""
- Biodiversity and/or habitat: This was analyzed through the descriptive code ""Altered wildlife views."" Participants described changes in wildlife viewing, noting different species, behaviors, and evidence like tracks in the snow. The text states, ""participants noted seeing wildlife, such as rabbits and weasels, in their white winter furs. And large, dark-colored moose were easier to spot against a white, leafless backdrop.""
- Vegetation and/or flora: This was analyzed through codes like ""Snow/ice-covered surfaces"" and ""Color palette changes."" The study describes how snow ""obscures vegetation and other landscape elements"" and alters the visual appearance of the landscape, which was a key part of the winter experience.
- Air quality and/or microclimate: This was analyzed through the codes ""Colder temperature"" and ""Differences in daylight."" Participants discussed their perceptions of cold, which was viewed as both ""invigorating as well as uncomfortable,"" and noted that the sun was ""viewed as less intense, resulting in a different quality of light during winter.""
- Acoustic environment & soundscape: This was analyzed through the code ""Quieter soundscape."" Participants described the winter soundscape as quieter, a change that was ""attributed to the muffling quality of snow, as well as fewer visitors and wildlife sounds.""","['Design and/or aesthetics', 'Internal accessibility']","The study analyzed participants' descriptions of the physical and functional changes to the recreation setting in winter.
- Design and/or aesthetics: This was a central theme, analyzed through codes like ""Snow/ice-covered surfaces"" and ""Color palette changes."" Participants perceived significant aesthetic changes, noting that snow ""alters the landscape's color palette... and generally creates a softened silhouette by covering angular features."" Snow was also said to ""'make everything look cleaner and more inviting' (Participant 4).""
- Internal accessibility: This was analyzed through the descriptive code ""Available terrain for recreation."" Participants reported that the winter environment expanded access within the setting. The text states, ""The snow-covered landscape and frozen water bodies were reported to effectively expand the available outdoor recreation terrain during winter."" This allowed recreationists to traverse ""previously impassable landscape features such as water and marshes.""","['Perceived quality', 'Recreation and/or leisure opportunities or programming', 'Social interactions and/or community-building']","The study's core purpose was to understand the experiential and social aspects of winter recreation settings.
- Perceived quality: The entire study is an analysis of perceived quality. It aimed to ""explore recreationists' perceptions of... winter recreation settings in relation to their experiences."" The findings state that ""the perceived differences were rated as being largely positive. The visual, acoustic, sensory, material, and social qualities of the winter recreation environment were highly valued by participants.""
- Recreation and/or leisure opportunities or programming: The study analyzed how seasonal changes created new recreation opportunities. The expansion of terrain due to snow and ice was a key finding, as it allowed for different types of activities (e.g., backcountry skiing) and extended ""an opportunity for creative decision-making as routes must be chosen rather than followed.""
- Social interactions and/or community-building: This was analyzed through the descriptive code ""Fewer recreationists, solitude."" The study found that ""the social setting was also perceived as being different during winter,"" specifically that ""recreation settings were viewed as less crowded."" This perception contributed to ""more opportunities for solitude during winter than during other seasons.""",[],"No qualifying content was identified. The study's data collection and analysis focused on recreationists' perceptions of biophysical and social attributes of the winter setting, primarily in ""wildland-urban interface and backcountry settings rather than more managed settings."" While the paper discusses management implications, it does not treat any management or governance aspects as dimensions of quality that were directly measured or analyzed from the participant interviews."
dandolo2022.pdf,"The study defines 'high quality public green spaces' based on subjective measurement from survey participants. The exposure measure had three categories: 'access to high quality public greenspaces, access only to lower quality public greenspaces, no access to public green spaces'. Participants were classified as having 'access to high quality public green spaces' if they answered 'strongly agree' to two statements: that the green spaces in their residential environment were 'well maintained' and that they were 'of high quality'.",[],"No qualifying content was identified. The study measured 'greenness' using the Normalized Difference Vegetation Index (NDVI) as an objective exposure variable, but this was treated as a separate measure from 'quality'. The 'quality' of public green spaces was assessed purely through subjective survey questions and did not incorporate direct ecological or environmental measurements.",['Maintenance and/or cleanliness'],"Maintenance is a component of the study's 'high quality public green spaces' measure. This was measured subjectively through a survey question where 'participants were asked to indicate on a five-point scale from strongly agree to strongly disagree, whether the green spaces in their residential environment were well maintained'. To be classified as having access to high quality green space, participants had to 'strongly agree' with this statement, in addition to another about overall quality.",['Perceived quality'],"The study's measure of 'high quality public green spaces' is entirely based on subjective perception. It was constructed from responses to two survey questions. Participants were asked to rate their agreement on a five-point scale with the statements that green spaces in their residential environment 'were well maintained' and 'were of high quality'. Participants were classified as having access to high quality green spaces only if they 'gave the answer ""strongly agree"" to both above statements'.",[],No qualifying content was identified. The study did not measure or analyze any management or governance aspects as part of its definition of greenspace quality.
ziemelniece2023.pdf,"The study defines the quality of residential courtyard areas primarily as ""visual aesthetic quality"". This is often paired with functional aspects, as seen in phrases like ""visual and functional quality of urban space"" and the importance of the ""compositional-functional structure for visual-aesthetic quality"". The research aims to compare these qualities in residential areas in Latvia and Finland.","['Vegetation and/or flora', 'Water quality and/or hydrology']","Vegetation and/or flora: This is treated as a core component of 'visual aesthetic quality'. The research method is described as ""comparative, considering the visual aesthetic quality of existing courtyards in Latvia (green areas, tree groups, paths, car parks, flower beds)"". The analysis compares the vegetation in the two locations, noting in Jelgava that ""mature, large trees are an asset that currently drowns out unpleasant areas,"" while praising the ""expressive plantation"" and ""dense vegetation structure"" in Helsinki. The study states that ""The structure of the greenery in residential areas plays a vital role in enriching and rationally saturating the inner courtyard areas with its splendour.""
Water quality and/or hydrology: This is identified as a quality feature in the Helsinki case study. The design is praised because ""extensive rainwater harvesting areas, canals and small ditches are created to promote a more natural and sustainable living outdoor space for all its users."" The study also highlights the positive quality of ""Linking green fabric with stormwater solutions in Helsinki.""","['Facilities and/or amenities', 'Maintenance and/or cleanliness', 'Safety and/or security', 'Design and/or aesthetics', 'Internal accessibility']","Facilities and/or amenities: The quality of courtyards was partly assessed by the presence and condition of facilities. The study notes that the Jelgava courtyard has resting places, but they are in ""poor condition"". In contrast, the high-quality Helsinki area includes ""children's play areas... enclosed by small, unobtrusive fencing systems"" and is located near ""kindergartens, schools, sports facilities and other public services.""
Maintenance and/or cleanliness: This is assessed as a component of quality through direct observation of the Jelgava courtyard. The low quality is evidenced by descriptions of ""Broken pavements"" and photos captioned ""POOR CONDITION OF RESTING PLACES"".
Safety and/or security: Safety is explicitly treated as a quality dimension. The Jelgava courtyard is described as an ""unsafe environment for everyone"" creating a ""dangerous feeling for all users"". In contrast, the Helsinki courtyards are designed while ""keeping safety and functionality in mind,"" for example by enclosing children's play areas with fencing.
Design and/or aesthetics: This is the central concept of the study, referred to as ""visual aesthetic quality"" and ""compositional-functional structure"". The quality is analyzed by comparing the design of courtyards in Jelgava and Helsinki. The Jelgava courtyard is described as ""chaotic"" and ""unpleasant"", while the Helsinki example is praised as a ""carefully planned courtyard area"" with a ""well-thought-out infrastructure layout"".
Internal accessibility: The quality of movement within the courtyards is analyzed. In Jelgava, low quality is demonstrated by ""Broken pavements, pedestrian walkways"" and the conflict with vehicles. In Helsinki, high quality is achieved because ""the trend is for green spaces to be created for people to walk and relax, diverting the vehicular load away from the courtyard areas.""","['Recreation and/or leisure opportunities or programming', 'Social interactions and/or community-building', 'Stewardship behavior']","Recreation and/or leisure opportunities or programming: The study assesses courtyard quality based on its ability to support activities. The assessment criteria listed in the methods include promoting ""a healthy, active lifestyle"" and providing ""play and recreation areas for all age groups"". The high-quality Helsinki courtyards are described as providing ""diverse, sustainable living space for residents with modern solutions and approaches.""
Social interactions and/or community-building: This is considered an outcome of a high-quality courtyard. The assessment criteria include creating ""An organised community structure"" and an environment where ""different generations come together"". The analysis of the high-quality Helsinki area notes the presence of ""urban gardens for social activities"" as a positive feature.
Stewardship behavior: This is analyzed through an observation in the low-quality Jelgava courtyard, where ""residents have made their own beds of ornamental greenery, which is a signal of the need for order and development."" This resident action is interpreted as a response to the poor quality of the officially managed space.",['Planning and/or policy'],"Planning and/or policy: The quality of the residential courtyards is directly attributed to the quality of urban planning. The abstract states that in Latvia, ""Legislation, lack of professionals in institutions, bureaucratic burden of decision-making"" and a ""lack of cooperation in several planning processes"" hinder the achievement of ""visual and functional quality"". The study's method involves a comparative analysis of the outcomes of different planning approaches, contrasting the post-war planning in Jelgava with the ""carefully planned"" and ""well-thought-out infrastructure layout"" of the modern Helsinki development."
cheng2020.pdf,"The study defines the quality of urban park systems through multiple indicators developed by the Trust for Public Land. The authors construct a composite ""Park Score Index"" which they state is ""the overall quality of urban park systems"". This index is based on three indicators: access, playgrounds, and parkland. The article states, ""The park Score Index captures the important dimensions related to the quality of urban park systems in terms of walkable access to a park, the number of parkland per 1,000, and playground.""",[],No qualifying content was identified. The study's measures of park quality did not include any ecological or environmental dimensions.,"['Facilities and/or amenities', 'Size and/or acreage', 'External accessibility']","The study measures park quality using three physical and functional indicators from the Trust for Public Land, which are combined into a Park Score Index.
Facilities and/or amenities: This dimension is represented by 'playground'. The article states, ""The Trust for Public Land (2019) chooses six key park amenities including playgrounds...to measure facility quality. This study only includes playground because data on the type of amenity has been collected since 2012 and its data is available every year from 2012 to 2017."" It is measured as ""a facility measure in terms of the average of per-capita provision of playgrounds in parks"".
Size and/or acreage: This dimension is represented by 'parkland'. It is measured as ""the percentage of parkland of total city area"".
External accessibility: This dimension is represented by 'access'. It is defined as ""public access to urban parks, which is measured by the proportion of city resident that live within 1/2 mile of an urban park (an estimated ten-minute walk)"".",[],"No qualifying content was identified. The study's measures of park quality did not include any social or experiential dimensions. The authors acknowledge this limitation, stating that the indicators used ""may fail to capture quality indicators that are directly related to user interactions and experiences.""",[],"No qualifying content was identified. While the study's independent variable relates to fiscal arrangements (a governance aspect), the dependent variable (park quality) was not measured using any management or governance dimensions."
ward2023.pdf,"The study defines greenspace 'quality' based on participant perceptions, specifically through the ""consideration of positive and negative elements, which constitute the 'quality' of such spaces and relate to participants' preferences and barriers to visiting and/or benefiting.""","['Biodiversity and/or habitat', 'Vegetation and/or flora', 'Water quality and/or hydrology', 'Acoustic environment & soundscape']","Ecological aspects were identified as 'positive elements of greenspaces' through thematic analysis of participant interviews. 
Biodiversity and/or habitat & Vegetation and/or flora: These were considered quality elements based on participants' stated ""enjoyment of seeing plants or wildlife in greenspaces"". Participants also valued management approaches that created 'space for nature', such as ""leaving a patch of wildflowers, trees for birds and squirrels or allowing parts of greenspaces to be less managed and 'wild'"".
Water quality and/or hydrology: The presence of water was identified as a positive quality attribute. The study notes that ""Water and beauty were also mentioned"" as positive aspects, and a figure caption states that positive captured scenes ""often featured natural elements, water and open views.""
Acoustic environment & soundscape: This was identified as a positive quality element. Participants discussed ""the experience of sounds (or quiet), which were often discussed in their contrast to the soundscape near the participants own homes.""","['Facilities and/or amenities', 'Maintenance and/or cleanliness', 'Safety and/or security', 'Design and/or aesthetics', 'Size and/or acreage', 'Internal accessibility', 'External accessibility']","Physical and functional dimensions were identified as aspects of quality through thematic analysis of participant interviews about barriers, negative elements, and desired improvements.
Facilities and/or amenities: A lack of facilities was a quality issue. Participants with disabilities noted a ""lack of benches or other facilities,"" and a common suggestion for improvement was for ""better facilities in greenspaces such as play and exercise equipment, benches.""
Maintenance and/or cleanliness: This was a significant negative quality dimension. Participants frequently raised the ""lack of greenspace cleanliness, for example, the presence of litter, or illegally dumped waste or rubbish,"" stating it ""ruins the experience totally."" A related theme was the ""perceived lack of maintenance of flower beds and facilities.""
Safety and/or security: This was a key quality dimension, identified as both a barrier and a negative element. Participants had ""safety-related responses focussed on concerns about being isolated in greenspaces or encountering antisocial or criminal behaviours."" Negative elements included ""seeing or experiencing anti-social and undesirable behaviours including drug-taking, drinking, setting off fireworks and vandalism, which were often discussed alongside the theme of safety.""
Design and/or aesthetics: This was identified as a positive quality element. Participants mentioned ""open spaces that were desirable from an aesthetic perspective"" and ""beauty"" as positive aspects of greenspaces.
Size and/or acreage: Size was identified as a quality dimension, as participants mentioned the need to travel to more distant greenspaces due to the ""poor quality, small size or the presence of anti-social behaviours in local greenspaces.""
Internal accessibility: This was a quality issue identified as a barrier, particularly for participants with disabilities who ""highlighted a wide range of barriers, all of them relating to design and infrastructure, including entrances and pathways not being wheelchair accessible, a lack of benches or other facilities, and a lack of signposting to which trails/pathways might be inaccessible to them.""
External accessibility: This was identified as a quality-related barrier. The study notes that ""improving affordability and convenience of transportation to greenspace would improve accessibility,"" and also mentions ""entrance and parking fees"" as barriers.","['Perceived quality', 'Recreation and/or leisure opportunities or programming', 'Social interactions and/or community-building', 'Other']","Social and experiential dimensions were central to the study's investigation of greenspace quality, analyzed through themes from participant interviews.
Perceived quality: The entire study is based on perceived quality. The authors state their research ""included consideration of positive and negative elements, which constitute the 'quality' of such spaces."" The methods involved thematic analysis of interviews focusing on participants' perceptions of positive and negative aspects, barriers, and desired improvements.
Recreation and/or leisure opportunities or programming: This was identified as a positive quality aspect contributing to well-being. The study found that ""Physical health benefits were linked to exercising, such as walking or participants generally being more active in greenspaces."" Participants also suggested improvements including ""play and exercise equipment.""
Social interactions and/or community-building: This was identified as a key positive quality. The study found ""social interaction"" to be a dominant theme in how greenspaces contribute to well-being. Participants ""talked about the importance of greenspaces for socialising with others and preventing isolation.""
Other: The social dimension of feeling welcome or unwelcome was a key aspect of quality. The study identified 'Representational barriers' as a ""pervasive issue for ethnic minority participants,"" who cited ""feeling unwelcome and uncomfortable due to experiencing racism and harassment in greenspaces."" One participant described feeling as though others' looks were asking, ""'Hmm, why are you here?' as if you don't have a right to be in that space.""","['Planning and/or policy', 'Citizen participation and/or collaboration', 'Funding and/or resource allocation']","Management and governance aspects were identified as components of quality through participant suggestions for improvements and discussions of negative elements.
Planning and/or policy: This was identified through participant suggestions for improving their experience. Specifically, participants, ""particularly those from ethnic minority backgrounds, wanted restrictions on dog exercising in greenspaces. Suggestions included requirements to keep dogs on leads or providing dog-free areas and signage.""
Citizen participation and/or collaboration: This was identified as a desired improvement to enhance greenspace quality. Participants suggested ""initiatives or projects to get local communities more involved in their local greenspaces."" The rationale was to increase a sense of ownership, with one participant stating, ""get the community involved... so we appreciate the work that's gone into it and feel some ownership of it then people might appreciate the greenspace more.""
Funding and/or resource allocation: This was identified as a perceived quality dimension through discussions of inequity. The ""perceived lack of maintenance of flower beds and facilities... was sometimes discussed in comparison to 'wealthier' areas, which participants perceived to be in receipt of more investment and/or attention."""
