File_Name,Regulating_Ecosystem_Services,Regulating_Ecosystem_Services_Detail,Cultural_Ecosystem_Services,Cultural_Ecosystem_Services_Detail,Provisioning_Ecosystem_Services,Provisioning_Ecosystem_Services_Detail,Health_and_Wellbeing,Health_and_Wellbeing_Detail,Social_and_Community_Outcomes,Social_and_Community_Outcomes_Detail,Economic_Outcomes,Economic_Outcomes_Detail
uebel2025.pdf,"['Habitat provision', 'Other']","Habitat provision: The study analyzes bird call species count as an outcome of park vegetation characteristics. The Methods section describes how 'bird call species' were quantified by 'manually identifying all unique bird species vocally-present within each park recording.' The Results section (Table 2) presents a regression model for the outcome variable 'Bird Call Species', showing that 'vegetation density (height 0.15–1.99 m)' had a significant positive association with the number of bird species identified. This serves as a measure of habitat provision for avian wildlife.
Other: The study measures noise mitigation as an outcome. Specifically, it analyzes 'traffic noise volume' as a function of park landscape features. The Methods section details the quantification of 'traffic noise volume' using 'the average power spectral density (PSD)' within the 1-2 kHz frequency spectrum. The Results section (Table 2) presents a regression model for the outcome variable 'Traffic Noise Volume', which was found to be negatively associated with 'vegetation density (0.15–1.99 m)' and 'distance to nearest main road', directly analyzing the noise mitigation service provided by park vegetation.",['Aesthetic'],"The study frames natural soundscapes as an 'important cultural ecosystem service' and analyzes key components of the soundscape as outcomes of park quality. Specifically, it measures 'bird call volume' and 'bird call species' count. The Methods section describes quantifying 'bird call volume' using a subjective five-point scale and 'bird call species' by identifying unique species from recordings. The Results section (Table 2) presents regression models showing how these outcomes are influenced by park characteristics like 'vegetation density (height 0.15–2 m)'. The analysis of bird sounds, a key aesthetic component of natural soundscapes, as a function of park vegetation quality qualifies this as an aesthetic outcome.",[],"No relevant outcome information was identified. The study does not analyze or measure any provisioning ecosystem services such as food, fresh water, or fuel as outcomes of park quality.",[],"No relevant outcome information was identified. Although the introduction discusses the potential for soundscapes to promote mental well-being, the study did not measure any physiological or psychological health outcomes. The discussion explicitly states this limitation: 'we did not have a direct measure of psychological restoration.'",[],"No relevant outcome information was identified. The study does not analyze or measure any social or community outcomes such as park use, social cohesion, or equity as a result of park quality.",[],No relevant outcome information was identified. The study does not analyze or measure any economic outcomes such as property values or healthcare cost savings as a result of park quality.
coisnon2024.pdf,[],"No regulating ecosystem services were analyzed as outcomes. The study mentions environmental benefits like cooling effects and air quality in the literature review, but the empirical analysis in the Methods and Results sections does not measure these as dependent variables. Instead, characteristics of green space are used as independent variables to explain resident satisfaction.","['Aesthetic', 'Recreational']","The study measures residents' satisfaction with urban green spaces, which reflects the perceived cultural ecosystem services they provide, such as aesthetic and recreational benefits. The dependent variable is 'satisfaction with UGS', measured on a four-point scale from 'not at all satisfied' to 'very satisfied' based on a Eurobarometer survey question. The analysis explicitly treats this satisfaction as an outcome of the city's green space characteristics. The Methods section details using Corine Land Cover data to quantify the 'proportions of areas dedicated to artificial vegetated areas (AV) such as parks and public gardens; sports and leisure facilities (SF) such as stadiums; agricultural areas (AG); and forests and vegetated seminatural areas (FN)'. The Results section then analyzes how these different types of green space, as indicators of greenspace quality and character, influence satisfaction levels. For example, the study finds an interaction effect where 'the denser the city, the greater the proportion devoted to FN increases the likelihood of being very satisfied with UGS'.",[],"No provisioning ecosystem services were analyzed as outcomes. While the study includes 'agricultural areas' as a type of urban green space in its analysis, it does not measure food production or any other provisioning service as a dependent variable.",['Psychological health'],"The study analyzes 'satisfaction with UGS' as its primary dependent variable, which is a measure of psychological well-being. The Methods section states, 'The variable we aim to explain is an ordered qualitative one' based on the Eurobarometer survey question asking respondents if they are 'very satisfied, rather satisfied, rather unsatisfied or not at all satisfied with ... Green spaces such as parks and gardens'. The study estimates mixed effects ordered logistic regression models to identify the individual and contextual factors influencing this satisfaction. The Results section presents how characteristics of urban green spaces, such as the proportion of 'forests and vegetated seminatural areas' (FN), affect the 'likelihood of being very satisfied with UGS'.",[],"No social and community outcomes were analyzed as dependent variables. The study's outcome is individual satisfaction. While the discussion mentions social topics like residential segregation, environmental justice, and social ties, these concepts are not empirically measured as outcomes of green space quality in the Methods or Results sections.",[],"No economic outcomes were analyzed as dependent variables. The study mentions concepts like city attractiveness and land prices in the introduction and discussion, but does not measure property values, tourism impacts, or other economic indicators as outcomes of green space quality in its empirical models."
bajwoluk2023.pdf,[],"No relevant outcome information was identified. The study analyzes characteristics of the parks that contribute to regulating services, such as the 'ratio of biologically active surface to total park area' (Table 1), but it does not measure or analyze any regulating ecosystem service outcomes (e.g., temperature reduction, stormwater management) resulting from these park qualities.","['Aesthetic', 'Educational', 'Recreational']","The study analyzes several cultural ecosystem services as outcomes of the pocket parks' quality and design.

Aesthetic: One of the study's main objectives was to determine the extent to which pocket parks affect the quality of urban space via their 'aesthetic... value' (Section 3). The analysis of the parks' form and development was used to assess their 'aesthetic attractiveness' (Section 6). This assessment was informed by secondary data from 'opinion polls conducted by the Municipal Greenery Authority during the design stage of each park and its later construction and use in the form of public consultations' (Section 5).

Educational: The Results section states that, based on field observations, the parks 'were used for educational, cultural, and sports-related purposes' (Section 4). Furthermore, the detailed overview in Table 1 lists 'educational elements' as specific features included in the design of several parks, such as Lipowy, Polny, and Wiewiórkowy.

Recreational: The Results section identifies 'rest and recreation' as the 'overarching function' of the parks, based on field research. It also notes that the parks were used for 'sports-related purposes' (Section 4). Table 1 details specific recreational 'development and features' such as swings, play features, and sports equipment.",[],"No relevant outcome information was identified. The study does not mention or analyze any provisioning ecosystem services such as food, fresh water, or fiber production.",[],"No relevant outcome information was identified. Although the literature review mentions health and physical activity, the study's own methods and results do not include any analysis or measurement of physiological or psychological health outcomes.","['Use, engagement, recreation', 'Equity, environmental justice', 'Stewardship, education']","The study analyzes several social and community outcomes related to the quality and placement of pocket parks.

Use, engagement, recreation: Park use was a directly observed outcome. The Results section reports that 'during the period of original field research, the parks were frequented by large numbers of users who actively engaged with the available furnishing and development elements in these spaces.' The conclusion further notes that 'The observed intensity of the parks' use allows us to assume that the initiative to build them has gained social acceptance' (Section 6).

Equity, environmental justice: The study analyzes the distribution of park access as an outcome of their siting. The methods included a 'graphical analysis of the pedestrian accessibility of each pocket park' using a 10-minute isochrone (Section 4, Figure 3). The results found 'significant differences in the accessibility of each park' and concluded that 'the layout of parks under investigation does not guarantee access to potential users from many multi-family housing complexes,' which constitutes an analysis of equitable access to greenspace (page 11).

Stewardship, education: The study identifies community participation in the park creation process. The Methods section states: 'In every case, local communities participated in the design process. The form, use programme, and general development of a pocket park were determined by means of public consultations' (Section 4). This demonstrates community engagement and stewardship. The educational component is supported by the finding that parks 'were used for educational... purposes' (Section 4).",[],"No relevant outcome information was identified. The study does not measure or analyze any economic outcomes such as property value changes, economic impacts of tourism, or healthcare cost savings."
huzlik2020.pdf,['Air purification'],"The study measures air quality within three city parks by determining the concentrations of gaseous pollutants (nitric oxide (NO), nitrogen dioxide (NO2), and ozone (O3)) and particulate matter (PM10). This is analyzed as an outcome of the parks' characteristics and location. The Methods section describes the sampling in three parks with different qualities (e.g., size, proximity to heavy traffic) and the instrumentation used. The Results section presents the measured pollutant concentrations (Tables 3, 5; Figure 6) and compares them across parks and with non-park reference stations (Figure 7). The study concludes that 'the air quality in the parks approached that of the urban background locations, except for Koliště park, which, due to its shape and proximity to a very busy road, showed the characteristics of a regular traffic location,' directly linking park characteristics to air quality outcomes. The study also states that 'parks ensure better air protection from nitrogen oxides than against dust,' framing air quality as a service provided by the parks.",[],"No relevant outcome information was identified. While the article mentions recreational activities like picnics, barbecues, and walks as occurring in the parks, these are not measured as outcomes of park quality. Instead, they are mentioned as background context or as a potential source of PM10 pollution.",[],No relevant outcome information was identified. The study does not analyze or measure any provisioning ecosystem services.,[],No relevant outcome information was identified. The study mentions the health risks of air pollution in the introduction but does not measure or analyze any physiological or psychological health outcomes.,[],"No relevant outcome information was identified. The study mentions park use for activities like sports and leisure but does not measure use, engagement, social cohesion, or other social outcomes resulting from park quality.",[],No relevant outcome information was identified. The study does not analyze or measure any economic outcomes.
hadavi2018.pdf,[],"No regulating ecosystem service outcomes were explicitly analyzed or measured in the study. The research focused on residents' perceptions, satisfaction, and use patterns rather than biophysical processes like climate regulation, air purification, or stormwater management.","['Aesthetic', 'Recreational']","The study analyzed cultural ecosystem services as outcomes of perceived nearby nature. 
Recreational: 'Neighbourhood use patterns' were a key dependent variable, measured through survey questions about the frequency of various activities. Factor analysis identified three outcome measures: 'Green/Social Space Use' (including items like 'To visit a green space', 'Resting on the lawn', 'Picnicking'), 'Active use' (including 'Garden at a community garden', 'Playlot/playground', 'Sports fields'), and 'Walking to Non-nature Destinations'. Regression models tested how perceived proximity to nature predicted these recreational use patterns (Table 7, Table 9).
Aesthetic: One of the four 'Neighbourhood satisfaction' factors, which served as a dependent variable, was 'Quality of Public Space'. This factor was derived from survey items including satisfaction with the 'Overall appearance' of the neighbourhood. This aesthetic outcome was analyzed in relation to perceived proximity to nature (Table 6, Table 9).",[],"No provisioning ecosystem service outcomes were explicitly analyzed or measured. While the study included survey items about community and vegetable gardens, it measured their use for gardening as a recreational activity ('Active use' factor), not the provisioning of food as an outcome.","['Physiological health', 'Psychological health']","The study analyzed health and well-being outcomes as consequences of perceived nearby nature.
Physiological health: Physical activity was measured as an outcome through the 'neighbourhood use patterns' dependent variable. This included the factors 'Active use' (comprising activities like running, biking, and using sports fields) and 'Walking to Non-nature Destinations'. The frequency of these physical activities was analyzed as an outcome predicted by perceived proximity to nature (Table 7, Table 9).
Psychological health: Aspects of psychological health were measured as outcomes via the 'Neighbourhood satisfaction' dependent variable. Specifically, the 'Neighbourhood Comfort' factor was composed of residents' satisfaction with 'Peacefulness', 'Safety for walking during the day', and 'Safety for walking at night'. This measure of comfort and perceived safety was analyzed as an outcome of perceived proximity to nature and perceived barriers (Table 6, Table 9).","['Use, engagement, recreation', 'Social interaction, cohesion']","The study analyzed social and community outcomes as consequences of perceived nearby nature.
Use, engagement, recreation: The study's main dependent variables included 'neighbourhood use patterns'. These were measured and analyzed as three distinct factors: 'Green/Social Space Use' (e.g., visiting parks, picnicking, sitting outdoors), 'Active use' (e.g., gardening, using playgrounds), and 'Walking to Non-nature Destinations'. Regression analysis was used to model how these use patterns were predicted by perceived proximity to different types of nature (Table 7, Table 9).
Social interaction, cohesion: Social outcomes were measured as part of the 'Neighbourhood satisfaction' dependent variable. The 'Amount of Affordances' factor included satisfaction with 'Opportunities for positive interactions with neighbours', and the 'Quality of Public Space' factor included satisfaction with 'Opportunities for outdoor community/friends gathering'. These measures of social opportunity were analyzed as outcomes influenced by perceived proximity to nature (Table 6, Table 9).",[],"No economic outcomes were explicitly analyzed or measured in the study. The research did not investigate property values, economic impacts of tourism, healthcare cost savings, or other economic indicators."
gatti2022.pdf,[],"No regulating ecosystem services were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections. The study focused on recreationists' perceptions and experiences, not on biophysical processes like climate or flood regulation.","['Aesthetic', 'Spiritual', 'Educational', 'Recreational']","The study analyzed recreationists' experiences resulting from the qualities of the winter recreation setting through semi-structured interviews. 
Aesthetic: The results state that ""The visual, acoustic, sensory, material, and social qualities of the winter recreation environment were highly valued by participants"" (p. 5). The analysis details how snow alters the landscape's aesthetics by changing the ""color palette,"" creating a ""softened silhouette,"" and making familiar places look new, which was described as a different ""visual experience"" (p. 5).
Spiritual: The study identified ""spirituality/higher order meanings"" as one of the ""experiential states and outcomes"" that participants discussed in relation to the attributes of the winter setting (p. 5).
Educational: The study reports ""nature learning"" as an experiential outcome (p. 5). The analysis found that the snowy landscape provided opportunities for learning about wildlife, particularly through ""sightings of footprints and fecal droppings on the snow."" One participant described it as ""exciting... to be cruising through and seeing all the animal tracks"" (p. 6).
Recreational: The study's central purpose was to analyze how the winter setting affects the recreation experience. The results identify numerous recreational outcomes, including ""adventure, novelty, creativity, challenge, comfort/discomfort, achievement"" (p. 5). The analysis showed that the snow-covered landscape was reported to ""effectively expand the available outdoor recreation terrain during winter,"" which was linked to outcomes like ""a greater sense of freedom, solitude, and adventure, and extended an opportunity for creative decision-making"" (p. 7).",[],No provisioning ecosystem services were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections.,['Psychological health'],"The study analyzed psychological outcomes of the winter recreation experience through thematic analysis of interviews. The results state that ""Winter setting attributes were discussed in relation to a number of experiential states and outcomes, including: positive affect, restoration, solitude, awe, thrill/stimulation, sense of freedom, adventure, novelty, creativity, challenge, comfort/discomfort, achievement"" (p. 5). These psychological states were directly linked to the qualities of the winter environment.","['Use, engagement, recreation', 'Social interaction, cohesion']","The study analyzed social outcomes of the winter recreation setting through qualitative interviews.
Use, engagement, recreation: The study's primary outcome of interest was the recreation experience itself, which is a direct result of use and engagement. The research question guided the analysis: ""How do recreationists perceive the winter recreation setting in relation to their recreation experiences?"" (p. 3). The results detail how the seasonal setting leads to a ""qualitatively different recreation experience"" (p. 6).
Social interaction, cohesion: The study analyzed perceptions of the social setting. A key descriptive code from the analysis was ""Fewer recreationists, solitude"" (Table 3, p. 5). The results section explains that ""recreation settings were viewed as less crowded during winter,"" which ""often led to an impression that there were more opportunities for solitude during winter than during other seasons"" (p. 5-6). This experience of solitude was a valued outcome.",[],"No economic outcomes were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections. While the introduction mentions the economic activity of winter recreation, this was not a focus of the study's empirical analysis."
dandolo2022.pdf,[],"No relevant outcome information was identified. The study's dependent variables are measures of exposure to green space and its quality (e.g., access to high quality public green spaces, greenness/NDVI). The analysis focuses on identifying sex/gender and social predictors of these exposure variables, not on measuring any regulating ecosystem service outcomes that result from greenspace quality.",[],"No relevant outcome information was identified. The study's dependent variables are measures of exposure to green space and its quality (e.g., access to high quality public green spaces, greenness/NDVI). The analysis focuses on identifying sex/gender and social predictors of these exposure variables, not on measuring any cultural ecosystem service outcomes that result from greenspace quality.",[],"No relevant outcome information was identified. The study's dependent variables are measures of exposure to green space and its quality (e.g., access to high quality public green spaces, greenness/NDVI). The analysis focuses on identifying sex/gender and social predictors of these exposure variables, not on measuring any provisioning ecosystem service outcomes that result from greenspace quality.",[],"No relevant outcome information was identified. The study's dependent variables are measures of exposure to green space and its quality (e.g., access to high quality public green spaces, greenness/NDVI). The analysis focuses on identifying sex/gender and social predictors of these exposure variables, not on measuring any health or well-being outcomes that result from greenspace quality. The discussion section explicitly states that exploring the effect of green spaces on health is a future research step.",[],"No relevant outcome information was identified. The study's dependent variables are measures of exposure to green space and its quality (e.g., access to high quality public green spaces, greenness/NDVI). The analysis focuses on identifying sex/gender and social predictors of these exposure variables, not on measuring any social or community outcomes that result from greenspace quality.",[],"No relevant outcome information was identified. The study's dependent variables are measures of exposure to green space and its quality (e.g., access to high quality public green spaces, greenness/NDVI). The analysis focuses on identifying sex/gender and social predictors of these exposure variables, not on measuring any economic outcomes that result from greenspace quality."
ziemelniece2023.pdf,"['Climate regulation', 'Flood regulation/stormwater management']","The study analyzes climate regulation and stormwater management as outcomes of greenspace quality. In the Methods section, the criteria used to assess residential areas include how a ""green structure reduces summer temperatures"" (climate regulation) and reduces ""stormwater management costs"" (flood regulation). The Results section analyzes the high-quality Helsinki residential area, noting that ""extensive rainwater harvesting areas, canals and small ditches are created"" and highlights the ""Linking green fabric with stormwater solutions,"" demonstrating that stormwater management is an analyzed outcome of the greenspace design.","['Aesthetic', 'Recreational']","The study's primary focus is on aesthetic and recreational outcomes of residential courtyard quality. 
Aesthetic: The research is explicitly for the ""visual aesthetic quality"" of residential areas. The Methods section states the research is a ""comparative, considering the visual aesthetic quality of existing courtyards"". The Results section analyzes the poor-quality Jelgava courtyard as creating a ""chaotic, unpleasant and dangerous feeling"" and contrasts this with the ""pleasant environment"" of the high-quality Helsinki site.
Recreational: The study analyzes recreational opportunities as an outcome of courtyard quality. The Methods section includes ""Lifestyle enhancement – walking trails, play and recreation areas for all age groups"" as an assessment criterion. The Results section contrasts the ""poor condition of resting places"" in Jelgava with the Helsinki site, where ""green spaces to be created for people to walk and relax"" and there are ""children's play areas"".",['Food'],"The study analyzes the potential for food provision as an outcome of greenspace design. The Methods section lists ""fruit trees, berry bushes"" as potential landscaping elements in a courtyard. The Results section presents the Helsinki case study as a positive example of high-quality design, featuring ""urban gardens for social activities"" (Fig. 10), which are analyzed as a component of a well-designed, multifunctional greenspace.","['Physiological health', 'Psychological health']","The study analyzes both physiological and psychological health as outcomes of courtyard quality.
Physiological health: The Methods section lists criteria for assessment that include ""promoting a healthy, active lifestyle"" and ""Health benefits – public outdoor spaces provide walking and cycling opportunities for everyone"". The analysis contrasts the ""unsafe environment"" in Jelgava with the opportunities to ""walk and relax"" in the well-designed Helsinki courtyards.
Psychological health: The Methods section includes assessment criteria such as ""Raising residents' self-esteem"", creating ""Peace and relaxation"", and providing ""Stress relief through visual qualities"". The Results section analyzes the negative psychological impact of the poor-quality Jelgava courtyard, noting it creates an ""unpleasant and dangerous feeling"".","['Use, engagement, recreation', 'Social interaction, cohesion', 'Stewardship, education']","The study analyzes several social outcomes as consequences of courtyard quality.
Use, engagement, recreation: The study analyzes how courtyard quality affects its use. The Results describe the Jelgava courtyard as having ""unfavourable conditions"" and being ""dangerous for all users of the outdoor space,"" which implies discouraged use. This is contrasted with the Helsinki courtyard, which is analyzed as providing a ""diverse, sustainable living space for residents,"" encouraging use.
Social interaction, cohesion: The Methods section lists criteria for ""Strengthening society,"" such as creating an ""organised community structure"" and a ""shared environment where different generations come together."" The Results analyze features in the Helsinki example like ""urban gardens for social activities"" and ""semi-private meeting places"" that foster social interaction. The conclusion states that a well-planned area contributes to ""positive social communication"".
Stewardship, education: The study analyzes stewardship through resident action. The Results section notes that in the poor-quality Jelgava site, ""residents have made their own beds of ornamental greenery, which is a signal of the need for order and development,"" analyzing an act of stewardship.",['Property value growth/capitalization'],"The study analyzes property value as an economic outcome of courtyard quality. In the Methods section, ""Property appreciation"" is listed as a criterion under ""Balancing economic issues"" that is used to assess and compare the residential areas. The conclusion reinforces this by stating that a ""carefully planned courtyard area... [makes a] contribution to... the creation of economic values of the city."""
cheng2020.pdf,[],"No relevant outcome information was identified. The study's objective is to explore the link between fiscal arrangements and the quality of public services, specifically urban park systems. In its analysis, 'the quality of urban park systems' is the dependent variable, measured through indicators such as public access to parks, per-capita provision of playgrounds, the percentage of parkland, and a composite 'Park Score Index'. The study analyzes how fiscal arrangements (the independent variable) are associated with these measures of park quality. It does not analyze or measure any subsequent outcomes or consequences of park quality, such as its effects on ecosystem services, health, social dynamics, or economic values. The measured variables are indicators of park quality, not outcomes resulting from it.",[],"No relevant outcome information was identified. The study's objective is to explore the link between fiscal arrangements and the quality of public services, specifically urban park systems. In its analysis, 'the quality of urban park systems' is the dependent variable, measured through indicators such as public access to parks, per-capita provision of playgrounds, the percentage of parkland, and a composite 'Park Score Index'. The study analyzes how fiscal arrangements (the independent variable) are associated with these measures of park quality. It does not analyze or measure any subsequent outcomes or consequences of park quality, such as its effects on ecosystem services, health, social dynamics, or economic values. The measured variables are indicators of park quality, not outcomes resulting from it.",[],"No relevant outcome information was identified. The study's objective is to explore the link between fiscal arrangements and the quality of public services, specifically urban park systems. In its analysis, 'the quality of urban park systems' is the dependent variable, measured through indicators such as public access to parks, per-capita provision of playgrounds, the percentage of parkland, and a composite 'Park Score Index'. The study analyzes how fiscal arrangements (the independent variable) are associated with these measures of park quality. It does not analyze or measure any subsequent outcomes or consequences of park quality, such as its effects on ecosystem services, health, social dynamics, or economic values. The measured variables are indicators of park quality, not outcomes resulting from it.",[],"No relevant outcome information was identified. The study's objective is to explore the link between fiscal arrangements and the quality of public services, specifically urban park systems. In its analysis, 'the quality of urban park systems' is the dependent variable, measured through indicators such as public access to parks, per-capita provision of playgrounds, the percentage of parkland, and a composite 'Park Score Index'. The study analyzes how fiscal arrangements (the independent variable) are associated with these measures of park quality. It does not analyze or measure any subsequent outcomes or consequences of park quality, such as its effects on ecosystem services, health, social dynamics, or economic values. The measured variables are indicators of park quality, not outcomes resulting from it.",[],"No relevant outcome information was identified. The study's objective is to explore the link between fiscal arrangements and the quality of public services, specifically urban park systems. In its analysis, 'the quality of urban park systems' is the dependent variable, measured through indicators such as public access to parks, per-capita provision of playgrounds, the percentage of parkland, and a composite 'Park Score Index'. The study analyzes how fiscal arrangements (the independent variable) are associated with these measures of park quality. It does not analyze or measure any subsequent outcomes or consequences of park quality, such as its effects on ecosystem services, health, social dynamics, or economic values. The measured variables are indicators of park quality, not outcomes resulting from it.",[],"No relevant outcome information was identified. The study's objective is to explore the link between fiscal arrangements and the quality of public services, specifically urban park systems. In its analysis, 'the quality of urban park systems' is the dependent variable, measured through indicators such as public access to parks, per-capita provision of playgrounds, the percentage of parkland, and a composite 'Park Score Index'. The study analyzes how fiscal arrangements (the independent variable) are associated with these measures of park quality. It does not analyze or measure any subsequent outcomes or consequences of park quality, such as its effects on ecosystem services, health, social dynamics, or economic values. The measured variables are indicators of park quality, not outcomes resulting from it."
ward2023.pdf,['Habitat provision'],"The study analyzed participants' perceptions of positive elements of greenspaces, which included the enjoyment of seeing plants and wildlife. This was linked to greenspace quality, as participants discussed how management choices, such as creating 'space for nature' by leaving patches of wildflowers or trees, resulted in the presence of wildlife like ""dragonflies, butterflies"". Participants explicitly linked these ""natural elements"" with a ""perceived benefit for their mental health"" (Section 3.3).","['Aesthetic', 'Recreational']","Aesthetic: In the results (Section 3.3), participants identified positive elements of greenspaces that contributed to their well-being, including ""open spaces that were desirable from an aesthetic perspective"" and the experience of ""Water and beauty"".
Recreational: The study analyzed how greenspace quality influenced recreational use. Negative quality elements, such as anti-social behaviors, litter, and lack of maintenance, were reported as barriers that ""stopped some participants from visiting or visiting as often as they would like"" (Section 3.4). Conversely, positive qualities encouraged recreational activities like walking and exercise, which were linked to physical health benefits (Section 3.2).",[],No provisioning ecosystem services were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections.,"['Physiological health', 'Psychological health']","The study's results in Section 3.2, ""How spending time in greenspaces contributes to perceived well-being,"" directly analyze these outcomes based on participant interviews. 
Physiological health: This was analyzed through participant reports of benefits ""linked to exercising, such as walking or participants generally being more active in greenspaces than they would be in other environments."" One participant was quoted as saying, ""physically, in terms of the exercise, it has really helped.""
Psychological health: This was analyzed through the theme of ""cognitive restoration,"" which included reported ""mental health benefits, including visiting greenspace to facilitate the alleviation of stress"" and replenished mental capacity. Participants described the experience as ""very relaxing,"" a ""proper break from work,"" and a time when they felt their ""brain was calm.""","['Use, engagement, recreation', 'Social interaction, cohesion', 'Equity, environmental justice']","Use, engagement, recreation: The study analyzed how negative elements of greenspace quality, such as ""anti-social and undesirable behaviours,"" litter, and lack of maintenance, acted as ""barriers that stopped some participants from visiting or visiting as often as they would like"" (Section 3.4), directly linking perceived quality to levels of use.
Social interaction, cohesion: In Section 3.2, ""social interaction"" was identified as a key theme for how greenspaces contribute to well-being. The analysis showed participants valued greenspaces ""for socialising with others and preventing isolation,"" including both planned interactions with friends and family and incidental interactions with strangers.
Equity, environmental justice: The results demonstrate that the outcomes of greenspace quality are not equitable. The study found that ""negative elements were more frequently referred to by participants receiving benefits and participants living in more deprived areas"" (Section 3.4). Furthermore, it analyzed ""representational barriers,"" where ethnic minority participants reported feeling ""unwelcome and uncomfortable due to experiencing racism and harassment in greenspaces"" (Section 3.1), an outcome related to the social environment of the park.",[],No economic outcomes were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections of this study.
