File_Name,Target_User_Groups,Target_User_Groups_Detail,Distributive_Justice,Distributive_Justice_Detail,Procedural_Justice,Procedural_Justice_Detail,Participation_Level,Participation_Outcome,Participation_Detail,Recognitional_Justice,Recognitional_Justice_Detail
uebel2025.pdf,['None (general public / unspecified users)'],"The study does not empirically analyze any specific user or population groups. The analysis focuses on the physical and ecological characteristics of parks and their resulting soundscapes. The methods state the aim was to ""assess park soundscapes that may be easily experienced by people,"" but does not differentiate these people into any demographic or social groups for analysis.","['Ecological/Environmental', 'Physical/Functional']","The study demonstrates an uneven distribution of soundscape quality across different park locations, which is a form of distributive inequity across places.
Ecological/Environmental: The quality of the acoustic environment is shown to be unequally distributed. Parks closer to main roads experience higher levels of traffic noise and lower bird call volume. The Results state, ""The most parsimonious traffic noise volume model indicated that traffic noise volume was negatively associated with increasing distance to a main road (B=-3.2, CI=-5.06, -1.34)"". Conversely, ""The lowest mean bird call volume scores of 0.85 and 0.92 were from parks with recording points in close proximity to a main road (112m and 200m, respectively).""
Physical/Functional: The inequity in soundscape quality is directly linked to a physical/functional attribute, namely external accessibility (proximity to roads). Parks with greater proximity to main roads have lower quality soundscapes. The Results show that ""The three parks with the highest average power spectral density values (indicating high traffic noise volume levels) (>46 dB/Hz) were each within 160m of a main road.""",[],"No procedural justice analysis was found. The study's Methods and Results sections do not contain any empirical analysis of stakeholder involvement, community participation, or decision-making processes related to park planning, design, or management. No direct quote exists.",[],NA,"No participation process was empirically analyzed in the study. The Methods and Results focus on biophysical measurements and statistical modeling, with no examination of citizen or community participation. No direct quote exists.",[],"No recognitional justice analysis was found. The study does not analyze how park or greenspace quality relates to the cultural identities, needs, or values of any specific groups. The research is focused on objective, biophysical measures of soundscapes. No direct quote exists."
coisnon2024.pdf,"['Age', 'Gender', 'Other']","The study analyzes differences in satisfaction with urban green spaces based on several sociodemographic characteristics. The groups analyzed are gender, age, education level, and professional activity. The Methods section states the Eurobarometer surveys ""gathered information on the sociodemographic characteristics of individuals (gender, age, etc.)"". The regression models include these as individual-level variables. The Results section (4.2) reports on these differences: ""Looking at within effects (Fig. 3), we see that, for a given city, being male rather than female makes it more likely to be very satisfied with UGS. Similarly, other things being equal, being over 55 years of age rather than between 15 and 24 years of age has a very significant effect on the likelihood of being more satisfied with UGS."" The 'Other' groups analyzed are education level (measured as 'school-leaving age') and 'professional activity'.","['Ecological/Environmental', 'Physical/Functional']","The study performs a distributive justice analysis across different types of cities, showing that the benefits of certain types of green space quality are unevenly distributed based on city density and surface area.
Ecological/Environmental: The positive effect of 'forests and vegetated seminatural areas (FN)' on citizen satisfaction is greater in denser cities. The results show that ""the denser the city, the greater the proportion devoted to FN increases the likelihood of being very satisfied with UGS.""
Physical/Functional: The effect of 'artificially vegetated areas (AV)' such as parks on satisfaction is unevenly distributed by city size. The study finds that ""The effect of a variation of 1 % in the proportion of area dedicated to artificial vegetated areas (AV) to the city surface area is negative on the probability of being very satisfied with UGS. The more the surface area increases, the more this effect decreases.""",[],"The study does not empirically analyze procedural justice. The Methods and Results sections do not contain any variables or analysis related to stakeholder involvement, participation in decision-making, or governance processes. Mentions of policy and decision-makers are confined to the introduction and discussion sections. No direct quote is available.",[],NA,"The study does not empirically analyze any citizen or community participation processes in its Methods or Results sections. Therefore, no participation level could be coded, and the outcome is not applicable. No direct quote is available.",[],"The study does not empirically analyze recognitional justice. While the results show differences in satisfaction among demographic groups, the study does not investigate whether these differences are due to the recognition or misrecognition of specific groups' cultural identities, needs, or values. The Discussion mentions that preferences may be linked to unobserved ""cultural"" characteristics, but this is not part of the empirical analysis in the Methods or Results. No direct quote is available."
bajwoluk2023.pdf,['Housing status'],"The study analyzes park accessibility in relation to housing status. The primary target users are residents of multi-family housing, as the study notes that ""almost all the parks were located in high-density areas predominated by multi-family housing."" The analysis contrasts this with at least one park where the access zone primarily covered ""an area of detached single-family buildings (houses with yards), i.e., areas whose residents are unlikely to use the pocket park, despite having good access to it.""",['Physical/Functional'],"Physical/Functional: The study's results demonstrate an uneven distribution of park accessibility across different residential areas. The analysis ""allowed the tracing of the areas of multi-family housing with good access to existing public parks, and those which have limited access, namely, with a travel time greater than 10 minutes’ walking distance."" The study concludes that ""the layout of parks under investigation does not guarantee access to potential users from many multi-family housing complexes"" and that some residents have ""very good access to more than one pocket park"" while large housing estates ""remained outside of the 10 min pedestrian access zone.""","['Physical/Functional', 'Social/Experiential', 'Management/Governance']","The study analyzes procedural justice by examining the role of community participation in shaping the parks. The Methods section states: ""In every case, local communities participated in the design process. The form, use programme, and general development of a pocket park were determined by means of public consultations"". This process directly influenced the physical design and amenities (Physical/Functional), the recreational opportunities (Social/Experiential), and the overall governance of the park development program (Management/Governance). The study's assessment of park quality is also explicitly based on secondary data from these consultations, including ""the polling of user opinions about completed parks.""",['Consultation'],Yes,"The study describes a process of 'Consultation'. The Methods section states that ""local communities participated in the design process"" and that the park's form and program ""were determined by means of public consultations"". This involved ""the formulation of expectations and preferences by residents as postulates for design briefs and the polling of user opinions about completed parks."" The study links this participation to tangible outcomes by analyzing the resulting parks, which were shaped by this process, and concluding they have ""high utilitarian and aesthetic attractiveness"" and have ""gained public acceptance,"" thus evaluating the participation as having produced positive quality improvements.",[],"The study does not contain an empirical analysis of recognitional justice. While it notes that parks have individual themes and characters, the Methods and Results sections do not analyze how these themes relate to the specific cultural identities, values, or needs of particular community groups. The analysis focuses on general user preferences rather than cultural recognition."
huzlik2020.pdf,['None (general public / unspecified users)'],"The study does not analyze specific user or population groups. It compares air quality across different park locations. While it notes that certain activities, such as barbecue parties, affect air quality, it does not analyze the people engaging in these activities as a distinct group. For example, the Results state that in Lužánky park, higher PM10 concentrations in summer were ""probably caused by the park being used to host barbecue parties,"" but the analysis focuses on the activity as a pollution source, not on the users themselves.",['Ecological/Environmental'],"The study empirically demonstrates that air quality is unevenly distributed across different park locations in Brno. Parks located near high-traffic roads have significantly worse air quality than parks in other locations. The Results state: ""significantly higher nitrogen oxide concentrations were determined at the monitored spots of Koliště and Koliště-road in colder weather. Both of the locations are situated near a busy road exhibiting a traffic intensity of 33,000 vehicles/d."" The study concludes that ""the air quality in the parks approached that of the urban background locations, except for Koliště park, which, due to its shape and proximity to a very busy road, showed the characteristics of a regular traffic location.""",[],"No procedural justice analysis was found. The study's Methods and Results sections focus exclusively on the technical measurement and analysis of air pollutants and do not examine any aspect of stakeholder involvement, participation, or decision-making processes. No direct quote exists.",[],NA,The study does not empirically analyze any citizen or community participation process. The Methods and Results sections are focused on the technical measurement of air quality. No direct quote exists.,[],"No recognitional justice analysis was found. The study is a technical assessment of air quality in different parks and does not analyze whether park quality affirms or misrecognizes the cultural identities, needs, or values of any specific groups. No direct quote exists."
hadavi2018.pdf,['None (general public / unspecified users)'],"The study analyzed a random sample of 434 residents from four Chicago communities. While demographic information was collected (Table 3), it was not used to analyze differences in perception or satisfaction between groups. The study notes in its conclusion: ""demographic information was not included in the analyses."" The analysis treats the residents as a single, undifferentiated group.",[],"The study did not perform a distributive justice analysis. Although the study area was selected to include communities with varying amounts of green space, the Methods and Results sections do not contain any analysis comparing park quality, satisfaction, or use patterns across different geographic areas or demographic groups. The analysis aggregates all participants and does not examine potential inequities in the distribution of quality.",[],"The study did not analyze any procedural justice dimensions. The research method was a survey of residents' perceptions and use patterns. There is no empirical analysis of stakeholder involvement, participation in decision-making, or governance processes in the Methods or Results sections.",[],NA,"No participation process was empirically analyzed in the study. The research focused on surveying residents about their perceptions of existing neighborhood characteristics and their use patterns, not on their involvement in any planning or management processes. No direct quote exists in the Methods or Results to support this absence.",[],"The study did not conduct a recognitional justice analysis. The Methods and Results do not examine whether park or greenspace qualities affirm, respect, or misrecognize the cultural identities, needs, or values of any specific groups. The analysis focuses on general aspects of satisfaction and use (e.g., safety, peacefulness, affordances) for the overall sample population."
gatti2022.pdf,"['Age', 'Race/ethnicity', 'Gender', 'Specific activity']","The study's primary focus is on a group defined by specific activity: ""habitual winter recreationists"" who participate in ""human-powered outdoor recreation on at least a weekly basis during the recent winter season."" The Methods section states, ""The sampling objective was to recruit diversity in terms of demographics and outdoor recreational profiles (e.g., activities, experience levels)."" The Results section provides a descriptive breakdown of the 28 participants by gender, age, and ethnicity in Table 1. For example, it reports ""13 females, 15 males"" and for ethnicity, ""Caucasian/White 26 93%"", ""Indian (South Asian) 1 3.5%"", and ""Latino/Hispanic 1 3.5%"". However, the qualitative analysis of perceptions and experiences in the Results section does not compare findings across these demographic subgroups; it treats the participants as a single group of winter recreationists.",[],"The study does not conduct a distributive justice analysis. The Methods and Results sections do not compare park or greenspace quality across different geographic areas or between different population groups. The analysis focuses on recreationists' perceptions of seasonal changes in the environment, not on the equitable distribution of quality. No direct quote exists.",[],"The study does not contain a procedural justice analysis. The Methods and Results sections do not examine stakeholder involvement, participation in decision-making, or governance processes related to park or greenspace quality. The 'Management implications' section offers recommendations to managers but does not analyze any actual participatory procedures. No direct quote exists.",[],NA,"The study does not empirically analyze any citizen or community participation process in the Methods or Results sections. Therefore, no level of participation can be coded, and the outcome is not applicable. No direct quote exists.",['Social/Experiential'],"The study analyzes the unique values and perspectives of winter recreationists, recognizing their experience as distinct from and often misrecognized by mainstream culture. This is framed under the theme 'Winter recreation settings are non-normative'. The study highlights a cultural divide in how winter is perceived. One participant stated: ""I grew up with the mentality of you hated winter. You hibernated. That whole culture of hibernation, staying inside because it's too cold, you know, it's just one attitude. So it's extremely different when you're always outside in the winter. The whole perspective is completely different."" This analysis recognizes the specific cultural values and experiential needs of the winter recreationist user group."
dandolo2022.pdf,"['Age', 'Income', 'Other']","The study analyzes subgroups based on income, age, and urban/rural context. The 'Other' category includes urban/rural context and experience of discrimination based on social position. The analysis used decision trees to identify subgroups with different levels of exposure to green space quality. Key variables from the results that defined these groups include self-rated financial situation ('SGRelationsIncome'), experiences with age discrimination ('DiscriminationAge'), and degree of urbanization ('SGRelationsUrbanisation'). For example, the analysis of access to high quality public green space found that the ""first split was initiated by the participant’s experiences with age discrimination (DiscriminationAge)"" and the remaining participants were split by ""self-rated financial situation"" ('SGRelationsIncome').","['Ecological/Environmental', 'Physical/Functional', 'Social/Experiential']","The study found inequities in both subjectively-assessed high-quality green space and objectively-measured greenness.
Physical/Functional & Social/Experiential: Access to high-quality public green spaces (a subjective measure combining perceived maintenance and overall quality) was unevenly distributed. The results show that participants with lower self-rated financial situations and those who had experienced age discrimination had less access. For example, ""Those who had already been discriminated against because of their age formed the subgroup with least access to high quality public green spaces."" Furthermore, participants with a ""bad or moderate rating"" for their financial situation were in subgroups that ""showed the lowest prevalence of access to high quality public green spaces.""
Ecological/Environmental: Objectively measured greenness (NDVI) was unevenly distributed by urban/rural context. The analysis showed that ""the primary split was based on the degree of urbanization (SGRelationsUrbanisation) sending participants living in a city to one branch resulting in the subgroup with the lowest mean of greenness.""",[],"The study did not empirically analyze procedural justice. The methods involved quantitative analysis of survey data and objectively measured environmental data to explore the distribution of greenspace exposure. There was no analysis of stakeholder involvement, participation in decision-making, or governance processes. No direct quote exists.",[],NA,"The study did not analyze any citizen or community participation processes. The methodology is based on analyzing existing survey data and objective environmental data to identify subgroups with different exposures to green space, not on evaluating participatory planning or management processes. No direct quote exists.","['Physical/Functional', 'Social/Experiential']","The study analyzes misrecognition through the variable 'experience of discrimination' and links it to access to high-quality green spaces (which includes perceived maintenance and overall quality). The results empirically demonstrate that groups who experience discrimination have lower quality access. Specifically, the analysis of access to high quality public green space found that discrimination based on age was a primary factor. The results state: ""The first split was initiated by the participant’s experiences with age discrimination (DiscriminationAge). Those who had already been discriminated against because of their age formed the subgroup with least access to high quality public green spaces."" This links the misrecognition inherent in ageism to lower quality in the physical/functional and social/experiential dimensions of green spaces."
ziemelniece2023.pdf,['None (general public / unspecified users)'],"The study analyzes the quality of residential courtyards for the general population of residents and users, without empirically differentiating between specific demographic or social groups. The analysis describes negative conditions in the Jelgava courtyard as creating a ""dangerous feeling for all users"" and positive conditions in the Helsinki courtyard as providing a ""sustainable living outdoor space for all its users."" While the methods list assessment criteria that mention different groups (e.g., ""play and recreation areas for all age groups""), the results are not disaggregated by these groups.","['Ecological/Environmental', 'Physical/Functional', 'Social/Experiential', 'Management/Governance']","The study performs a distributive justice analysis by comparing the quality of residential courtyards in two different locations/countries, revealing significant inequities.
Ecological/Environmental: The high-quality Helsinki courtyards feature designed ecological systems, including ""extensive rainwater harvesting areas, canals and small ditches"" and ""dense vegetation structure."" In contrast, the low-quality Jelgava courtyard's vegetation is less functional, with mature trees that ""drowns out unpleasant areas"" rather than being part of an integrated design.
Physical/Functional: A stark contrast in physical quality is shown. The Jelgava courtyard has ""Broken pavements, pedestrian walkways,"" resting places in ""poor condition,"" and is described as an ""unsafe environment for everyone."" The Helsinki courtyards have a ""well-thought-out infrastructure layout"" and are designed with ""safety and functionality in mind,"" such as enclosed children's play areas.
Social/Experiential: The quality of social and recreational space is unevenly distributed. The Jelgava courtyard creates a ""chaotic, unpleasant and dangerous feeling for all users."" In Helsinki, the courtyards provide a ""diverse, sustainable living space for residents"" and include features like ""urban gardens for social activities.""
Management/Governance: The study attributes the quality disparity directly to different planning and governance approaches. The abstract notes that in Latvia, ""Legislation, lack of professionals in institutions, bureaucratic burden of decision-making"" hinder quality. The results implicitly contrast the outcomes of Soviet-era planning in Jelgava with the ""carefully planned courtyard area"" resulting from modern Finnish planning.",[],"The study does not empirically analyze procedural justice. While the abstract mentions a ""lack of cooperation in several planning processes"" in Latvia, the Methods and Results sections do not investigate stakeholder participation, community involvement, or decision-making processes. The analysis focuses on comparing the outcomes of different top-down national planning systems rather than the procedures within them. No direct quote exists.",[],NA,"The study does not empirically analyze any citizen or community participation process in the planning, design, or management of the residential courtyards. It notes that in the low-quality Jelgava courtyard, ""residents have made their own beds of ornamental greenery,"" but this is analyzed as a ""signal of the need for order and development"" in response to poor conditions, not as a formal or informal participation process that was studied. Therefore, no participation level could be coded, and the outcome is not applicable. No direct quote analyzing a participation process exists.",[],"The study does not empirically analyze recognitional justice. The Methods and Results do not assess whether the design or management of the courtyards recognizes or misrecognizes the specific cultural identities, values, or needs of any resident groups. The analysis is based on expert observation of functional and aesthetic qualities. No direct quote exists."
cheng2020.pdf,"['Race/ethnicity', 'Income']","The study analyzes race/ethnicity and income (community wealth) as control variables in its regression models to assess their impact on park quality. For race/ethnicity, the study includes the ""percentage of the white population as one demographic variable."" For income, it includes ""An indicator of community wealth... to find how community wealth affects urban park performance."" The results of these analyses are reported.",['Physical/Functional'],"The study finds that park quality, measured by physical/functional dimensions, is unevenly distributed by race and community wealth. The results from the regression models show that cities with a higher percentage of white residents and higher community wealth tend to have better park quality. Specifically, the study finds that ""the white population has a positive and statistically significant relationship with park score index, access, and parkland."" It also finds that ""community wealth has a statistically significant and positive relationship with dependent variables such as park score index, access, and park land in the RE models.""",[],"The study does not empirically analyze procedural justice. Its focus is on the relationship between different fiscal governance structures (dispersed vs. concentrated funding) and park quality outcomes. It does not investigate processes of stakeholder involvement, public participation in decision-making, or planning input. No direct quote exists for this negative finding.",[],NA,"The study does not empirically analyze any citizen or community participation process in park planning, design, or management. Therefore, no participation level could be coded, and the outcome is not applicable. No direct quote exists for this negative finding.",[],"The study does not contain an empirical analysis of recognitional justice. While it notes that ""different population groups have different interests in public parks,"" its analysis is limited to the distribution of quality indicators (e.g., access, parkland) across demographic groups. It does not examine whether park features, designs, or management practices recognize or misrecognize the cultural identities, values, or specific needs of these groups. No direct quote exists for this negative finding."
ward2023.pdf,"['Age', 'Race/ethnicity', 'Income', 'Gender', 'Health condition']","The study recruited and analyzed perceptions from 40 individuals from under-represented groups. The Methods section provides a demographic breakdown of participants, including: Gender (12 male, 28 female), Age (ranging from 18 to 70+), Ethnicity (23 from ethnic minority backgrounds, 17 White), Low-income (15 participants receiving social welfare payments), and Health condition (10 participants with long-term health conditions or disabilities). The Results section analyzes differences between these groups, noting for example that ""Safety was a particular concern for female participants,"" and ""proportionately more of a concern for people with low-incomes."" It also highlights that ""Representational barriers were a pervasive issue for ethnic minority participants"" and participants with disabilities ""highlighted a wide range of barriers, all of them relating to design and infrastructure.""","['Physical/Functional', 'Social/Experiential', 'Management/Governance']","The study identifies several inequities in greenspace quality based on participant interviews. 
Physical/Functional: Quality is unevenly distributed by income, gender, and health status. Participants from low-income areas reported more issues with anti-social behavior and safety, which made them travel to more distant greenspaces. Safety was ""proportionately more of a concern for people with low-incomes"" and a ""particular concern for female participants."" Participants with disabilities faced significant physical barriers, including ""entrances and pathways not being wheelchair accessible, a lack of benches or other facilities.""
Social/Experiential: Negative experiences were more common for those in deprived areas. The results state that negative elements like anti-social behavior ""were more frequently referred to by participants receiving benefits and participants living in more deprived areas.""
Management/Governance: Participants perceived an inequitable distribution of investment. The ""perceived lack of maintenance of flower beds and facilities... was sometimes discussed in comparison to 'wealthier' areas, which participants perceived to be in receipt of more investment and/or attention.""",['Management/Governance'],"The study analyzes procedural justice by examining participant desires for community involvement and critiquing the composition of existing participatory structures. In the Results, participants suggested ""initiatives or projects to get local communities more involved in their local greenspaces"" to increase feelings of ownership. The study also analyzes the limitations of existing 'friends of parks' groups as a mechanism for participation, citing another study to note that such groups often have an ""underrepresentation of those identifying as belonging to Black, ethnic minority, disabled and working-class groups."" This highlights an inequity in who participates in greenspace governance.","['Consultation', 'Partnership']",No,"The study analyzes the desire for participation and the composition of existing participatory groups, but does not evaluate the outcome of any specific participatory process. Participants expressed a desire for community involvement, with one suggesting to ""get the community involved if they're upgrading a green space or anything so we appreciate the work that's gone into it and feel some ownership of it then people might appreciate the greenspace more."" This suggests a desire for partnership. The study also mentions that ""consultation could make a positive difference to local greenspaces users."" It critiques existing 'friends of parks' groups (a form of partnership) for their lack of diversity. However, the study does not empirically assess whether any form of participation led to tangible improvements in greenspace quality.","['Social/Experiential', 'Management/Governance']","The study provides strong evidence of misrecognition, primarily affecting ethnic minority participants.
Social/Experiential: The study found that ""Representational barriers were a pervasive issue for ethnic minority participants."" They reported ""feeling unwelcome and uncomfortable due to experiencing racism and harassment in greenspaces."" One participant described receiving looks that seemed to say, ""'Hmm, why are you here?' as if you don't have a right to be in that space."" Cultural values were also misrecognized, particularly regarding dogs. For some participants from ethnic minority backgrounds, uncontrolled dogs were a significant barrier due to cultural backgrounds where ""dogs were feared or only kept as guard dogs, rather than pets.""
Management/Governance: The failure to manage dogs in a way that respects these cultural fears represents a misrecognition in governance. Participants, ""particularly those from ethnic minority backgrounds, wanted restrictions on dog exercising in greenspaces. Suggestions included requirements to keep dogs on leads or providing dog-free areas and signage."""
